project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,java_exam_score,output_length,cumulative_distance,sv_comp_overall_score
black,14,Statement,Tarantula,1,1,1,5.742574257425743,52.5775830745697,1.0,1,1.1112716281240624e-05,1.1112716281240624e-05,1980,1.0,-3.0
cookiecutter,1,Statement,Tarantula,1,0,0,0.0,14.507770538330078,3.0,1,0.0019646365422396855,0.0019646365422396855,239,4.005263157894737,-3.0052631578947366
fastapi,3,Statement,Tarantula,1,1,1,5.172413793103448,12.749234676361084,3.5,1,0.0007907817442385902,0.0007907817442385902,660,3.5,-3.0053759190449836
fastapi,7,Statement,Tarantula,1,0,0,0.0,2.0202980041503906,3.5,1,0.0008149010477299185,0.0008149010477299185,368,3.5,-6.507246376811595
fastapi,11,Statement,Tarantula,1,0,0,0.0,2.027017116546631,1369.3333333333333,0,0.36408756536382164,-1,173,0,-8.727128476193418
fastapi,16,Statement,Tarantula,1,1,1,66.66666666666666,0.7255284786224365,1.0,1,0.00039416633819471815,0.00039416633819471815,42,1.0,-3.0
httpie,3,Statement,Tarantula,1,0,1,0.47393364928909953,15.367119312286377,121.0,1,0.044600073719130114,0.044600073719130114,715,0,-7.0
keras,3,Statement,Tarantula,1,0,0,0.0,184.52024579048157,94.25,1,0.0024612210790202122,0.0024612210790202122,5320,0,-11.772504917040697
keras,10,Statement,Tarantula,1,1,1,25.0,87.1016194820404,1.5,1,4.044107735030061e-05,4.044107735030061e-05,4133,1.5,-3.0008250825082508
keras,14,Statement,Tarantula,1,0,1,45.45454545454545,26.784066915512085,1.5,1,4.1849175571241246e-05,4.1849175571241246e-05,2471,1.5,-7.5
keras,18,Statement,Tarantula,1,0,0,0.0,28.64491105079651,19.5,1,0.0005511276920468034,0.0005511276920468034,1913,17.28179124886053,-3.0006836827711942
keras,20,Statement,Tarantula,1,1,0,0.0,1174.6866481304169,21.363636363636363,1,0.0006033562009612619,0.0006033562009612619,8487,31.649168928086837,-7.0
keras,26,Statement,Tarantula,1,0,0,0.0,32.99368643760681,22.0,1,0.000563481289859898,0.000563481289859898,1504,0,-3.013913410816607
keras,31,Statement,Tarantula,1,0,0,0.0,28.89354920387268,9.0,1,0.00023336617746201317,0.00023336617746201317,1402,9.0,-3.0059228548160215
keras,33,Statement,Tarantula,1,1,1,95.45454545454545,6.845127820968628,1.6666666666666665,1,4.346503238144912e-05,4.346503238144912e-05,963,1.6666666666666665,-3.0034530386740332
keras,35,Statement,Tarantula,1,1,1,0.2145922746781116,18.091214179992676,7.5,1,0.00019959548648073238,0.00019959548648073238,1350,7.5,-3.048256467941507
keras,38,Statement,Tarantula,1,0,1,0.11771630370806356,182.33350825309753,13.5,1,0.00036941768826619965,0.00036941768826619965,6056,26.820566388115132,-4.008588672237697
luigi,3,Statement,Tarantula,1,0,1,2.4390243902439024,22.991326093673706,1.0,1,4.669624095260332e-05,4.669624095260332e-05,1956,1.0,-3.0
