project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,is_bug_localized,exam_score,java_exam_score,output_length,cumulative_distance,cumulative_distance2,sv_comp_overall_score
keras,1,Statement,Tarantula,0,0,1,2.941176470588235,1049.5740146636963,1.0,1,2.6091948024839534e-05,2.6091948024839534e-05,7238,1.0,1.0,-3.0
keras,3,Statement,Tarantula,1,0,0,0.0,184.52024579048157,94.25,1,0.0024612210790202122,0.0024612210790202122,5320,0,0,-11.772504917040697
keras,5,Statement,Tarantula,0,0,0,0.0,334.0135052204132,67.5,1,0.0018040410519563823,0.0018040410519563823,1535,0,0,-7.0571151093845845
keras,6,Statement,Tarantula,0,0,0,0.0,45.33613181114197,70.5,1,0.0019017560896657764,0.0019017560896657764,4139,0,0,-12.0
keras,7,Statement,Tarantula,0,0,0,0.0,16.23026442527771,8.5,1,0.00022974214822422834,0.00022974214822422834,2235,10.791304347826086,10.791304347826086,-3.6144927536231886
keras,10,Statement,Tarantula,1,1,1,25.0,87.1016194820404,1.5,1,4.044107735030061e-05,4.044107735030061e-05,4133,1.5,1.5,-3.0008250825082508
keras,14,Statement,Tarantula,1,0,1,45.45454545454545,26.784066915512085,1.5,1,4.1849175571241246e-05,4.1849175571241246e-05,2471,1.5,1.5,-7.5
keras,17,Statement,Tarantula,0,0,1,9.615384615384617,29.182665824890137,4.5,1,0.00012706121526993448,0.00012706121526993448,2483,14.5,14.5,-4.0375
keras,18,Statement,Tarantula,1,0,0,0.0,28.64491105079651,19.5,1,0.0005511276920468034,0.0005511276920468034,1913,17.28179124886053,17.28179124886053,-3.0006836827711942
keras,20,Statement,Tarantula,1,1,0,0.0,1174.6866481304169,21.363636363636363,1,0.0006033562009612619,0.0006033562009612619,8487,31.649168928086837,31.649168928086837,-7.0
keras,26,Statement,Tarantula,1,0,0,0.0,32.99368643760681,22.0,1,0.000563481289859898,0.000563481289859898,1504,0,0,-3.013913410816607
keras,31,Statement,Tarantula,1,0,0,0.0,28.89354920387268,9.0,1,0.00023336617746201317,0.00023336617746201317,1402,9.0,9.0,-3.0059228548160215
keras,33,Statement,Tarantula,1,1,1,95.45454545454545,6.845127820968628,1.6666666666666665,1,4.346503238144912e-05,4.346503238144912e-05,963,1.6666666666666665,1.6666666666666665,-3.0034530386740332
keras,35,Statement,Tarantula,1,1,1,0.2145922746781116,18.091214179992676,7.5,1,0.00019959548648073238,0.00019959548648073238,1350,7.5,7.5,-3.048256467941507
keras,38,Statement,Tarantula,1,0,1,0.11771630370806356,182.33350825309753,13.5,1,0.00036941768826619965,0.00036941768826619965,6056,26.820566388115132,26.820566388115132,-4.008588672237697
keras,40,Statement,Tarantula,0,0,1,1.342281879194631,147.71782660484314,12.5,1,0.00035330695308083665,0.00035330695308083665,5859,7.793707973102786,7.793707973102786,-3.1594620557156583
keras,41,Statement,Tarantula,0,1,1,8.333333333333332,16.664397478103638,1.6666666666666665,1,4.8118101067259477e-05,4.8118101067259477e-05,1074,1.6666666666666665,1.6666666666666665,-3.001048951048951
keras,43,Statement,Tarantula,0,0,0,0.0,125.69938063621521,3.6666666666666665,1,0.00010640047203118501,0.00010640047203118501,4779,3.6666666666666665,3.6666666666666665,-3.0760869565217392
pandas,2,Statement,Tarantula,1,1,1,0.6765899864682002,1341.9947276115417,232.0,1,0.001806220561329752,0.001806220561329752,8158,2.5010836584308627,2.5010836584308627,-7.627329865626354
pandas,12,Statement,Tarantula,1,0,1,0.1620745542949757,2552.903843164444,104.0,1,0.0008142493638676844,0.0008142493638676844,8671,0,0,-11.223300970873787
pandas,23,Statement,Tarantula,1,0,0,0.0,49.26249623298645,106.0,1,0.0008326721706820841,0.0008326721706820841,2561,0,0,-11.061193052910287
pandas,43,Statement,Tarantula,0,1,1,0.23134759976865238,85.88211822509766,923.75,1,0.007314340462258399,0.007314340462258399,5586,0,0,-11.880952380952381
pandas,54,Statement,Tarantula,0,1,0,0.0,25445.52511405945,5839.333333333333,1,0.04642534392333643,0.04642534392333643,17507,10.57905982905983,10.57905982905983,-3.0017094017094017
pandas,56,Statement,Tarantula,0,0,0,0.0,1699.1994307041168,188.0,1,0.0014948039660011609,0.0014948039660011609,7765,0,0,-11.777777777777779
pandas,68,Statement,Tarantula,1,0,0,0.0,23.321685075759888,26315.0,0,0.20974478328099344,-1,1528,0,0,-6.760933476612396
pandas,72,Statement,Tarantula,1,1,1,1.6006739679865205,15.268394708633423,3.25,1,2.5925128229672706e-05,2.5925128229672706e-05,4158,3.25,3.25,-8.250078492935636
