project_name,bug_number,granularity,technique,crashing,predicate,mutable_bug,percentage_of_mutants_on_ground_truth,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
black,1,Statement,Tarantula,0,0,0,0.0,132.3571379184723,71.5,0.0007697193484837067,46.07306043496445,-2.892879548306148
black,3,Statement,Tarantula,0,0,0,0.0,104.21208119392395,46853.5,0.5130469537032981,1.8891273247496423,-2.0340963280877444
black,4,Statement,Tarantula,0,0,0,0.0,68.4707555770874,843.0,0.009314093781765148,8.38022724821114,-2.1523677681492934
black,6,Statement,Tarantula,0,1,1,0.11206574523720583,58.77962040901184,219.0,0.002423209701690714,17.90584642233857,-2.326701570680628
black,7,Statement,Tarantula,0,1,1,0.11876484560570072,64.7829794883728,541.0,0.005989217194920789,27.92177593865077,-2.507668653430014
black,8,Statement,Tarantula,0,1,1,0.7784431137724551,46.83869695663452,285.0,0.003155342493052711,17.26734367868553,-2.3129659211927582
black,10,Statement,Tarantula,0,1,1,1.0344827586206897,62.782360315322876,1.0,1.1079964100916312e-05,0.0,8
black,11,Statement,Tarantula,0,1,1,0.12526096033402923,56.28782558441162,455.3333333333333,0.005045971534219149,20.362399252423785,-2.37022544095316
black,14,Statement,Tarantula,1,1,1,5.742574257425743,52.5775830745697,1.0,1.1112716281240624e-05,0.0,8.0
black,15,Statement,Tarantula,0,1,1,5.055368319691863,61.06019687652588,1.0,1.1103955228852518e-05,0.0,8.0
black,18,Statement,Tarantula,0,0,1,0.15467904098994587,49.46785068511963,1.5,0.0002920560747663551,0.000453857791225416,2.999848714069592
black,19,Statement,Tarantula,0,0,1,0.20352781546811397,33.047914028167725,16.0,0.003573023671281822,11.630250438125387,-2.2114590988750074
black,23,Statement,Tarantula,0,1,1,0.06711409395973154,14.277763605117798,261.5,0.071448087431694,1.0816389949391814,-2.0196661635443487
cookiecutter,1,Statement,Tarantula,1,0,0,0.0,14.507770538330078,3.0,0.0019646365422396855,0.02280701754385965,0.32982456140350846
cookiecutter,2,Statement,Tarantula,0,1,1,5.555555555555555,2.641118288040161,1.0,0.00066711140760507,0.0,8
cookiecutter,3,Statement,Tarantula,0,0,0,0.0,8.216080665588379,6.5,0.004449007529089665,0.5857438016528926,-1.1945592286501379
cookiecutter,4,Statement,Tarantula,0,1,0,0.0,9.38987398147583,29.25,0.03242793791574279,135.91343186446372,-7.0
fastapi,1,Statement,Tarantula,0,1,1,16.129032258064516,40.023441553115845,4.666666666666666,0.0010458688181682353,0.2612481857764876,-0.47895500725689377
fastapi,2,Statement,Tarantula,0,0,0,0.0,7.2961249351501465,2551.0,0.5727436012572968,162.00807265388497,-3.3779571700863325
fastapi,3,Statement,Tarantula,1,1,1,5.172413793103448,12.749234676361084,3.5,0.0007907817442385902,0.05375919044983793,0.3023163886473239
fastapi,4,Statement,Tarantula,0,0,0,0.0,1.8506519794464111,95.5,0.021640607296623614,218.56100863090202,-5.921204941614486
fastapi,5,Statement,Tarantula,0,0,0,0.0,1.5185177326202393,2380.0,0.5398049444318439,447.17391304347825,-10.130434782608695
fastapi,6,Statement,Tarantula,0,1,1,1.8518518518518516,1.0297150611877441,69.0,0.01567469332121763,287.5088889306945,-7.15444164346452
fastapi,7,Statement,Tarantula,1,0,0,0.0,2.0202980041503906,36.0,0.008381839348079161,275.0,-7
fastapi,9,Statement,Tarantula,0,1,0,0.0,1.2646007537841797,831.8333333333334,0.21919191919191922,499.4959929470087,-11.081745326309248
fastapi,10,Statement,Tarantula,0,0,0,0.0,9.676014184951782,6.0,0.0015860428231562252,0.0827123695976155,-1.0948477751756442
fastapi,11,Statement,Tarantula,1,0,0,0.0,2.027017116546631,1369.3333333333333,0.36408756536382164,352.50651705768996,-8.409209401048908
