project_name,bug_number,cumulative_distance,sv_comp_overall_score
black,1,11.962515683814303,-2.80034504391468
black,3,0,-10
black,4,402.8941605839416,-2.0060407752328215
black,6,0.6664921465968586,-2.6664921465968585
black,7,0.0,8
black,8,0,-10
black,10,0.26905829596412556,4
black,11,0,-10
black,14,0,-10
black,15,10,-12
black,18,0.026928895612708018,-2.000302571860817
black,19,0,-10
black,23,0,-10
cookiecutter,1,0,-10
cookiecutter,2,0,-10
cookiecutter,3,0,-10
cookiecutter,4,0,-10
fastapi,1,0,-10
fastapi,2,0,-10
fastapi,3,0,-10
fastapi,4,10,-12
fastapi,5,140.0,-7.0
fastapi,6,0.0,8.0
fastapi,7,0,-10
fastapi,9,0,-10
fastapi,10,0,-10
fastapi,11,0,-10
fastapi,12,10.055172413793104,-2.0551724137931036
fastapi,14,0,-10
fastapi,16,0,-10
httpie,2,0,-10
httpie,3,0,-10
httpie,4,0.0,8
httpie,5,0,-10
keras,1,0.0019646365422396855,-2.0019646365422394
keras,3,0,-10
keras,5,0,-10
keras,6,45.01155115511551,-2.0115511551155114
keras,7,0,-10
keras,10,0,-10
keras,14,0,-10
keras,17,100,-12
keras,18,0,-10
keras,20,0,-10
keras,26,0,-10
keras,31,0,-10
keras,33,0,-10
keras,35,0,-10
keras,38,0,-10
keras,40,0,-10
keras,41,0,-10
keras,43,0,-10
pandas,2,0,-10
pandas,12,5,-7
pandas,23,60,-12
pandas,43,60.0,5
pandas,54,0,-10
pandas,56,0,-10
pandas,68,0,-10
pandas,72,0,-10
pandas,74,0.0,8
pandas,77,0,-10
pandas,81,0,-10
pandas,84,0,-10
pandas,116,0,-10
pandas,137,100,-12
pandas,141,0,-10
pandas,143,0,-10
pandas,146,0,-10
pandas,168,0,-10
sanic,1,0,-10
sanic,3,0,-10
sanic,4,0,-10
spacy,1,0,-10
spacy,2,0,-10
spacy,3,0,-10
spacy,4,0,-10
spacy,5,0,-10
spacy,6,30.0,5
thefuck,2,0,-10
thefuck,3,0,-10
thefuck,4,0,-10
thefuck,6,0,-10
thefuck,7,0,-10
thefuck,8,0,-10
thefuck,13,0,-10
thefuck,14,0,-10
thefuck,15,0,-10
thefuck,17,0,-10
thefuck,19,0,-10
thefuck,20,0,-10
thefuck,25,0,-10
thefuck,26,0,-10
thefuck,28,0,-10
thefuck,29,0,-10
tornado,1,0,-10
tornado,5,0,-10
tornado,6,0,-10
tornado,8,211.11057304277642,-2.36319612590799
tqdm,4,0,-10
tqdm,5,0,-10
tqdm,6,0,-10
tqdm,7,0,-10
tqdm,8,0,-10
tqdm,9,0,-10
youtube-dl,1,0,-10
youtube-dl,2,0,-10
youtube-dl,6,0,-10
youtube-dl,7,0,-10
youtube-dl,13,0.003383458646616541,6
youtube-dl,15,0.006496881496881497,-2.0064968814968815
youtube-dl,17,0,-10
youtube-dl,18,0,-10
youtube-dl,20,0,-10
youtube-dl,21,0,-10
youtube-dl,24,30.03822441430333,-5.009556103575832
youtube-dl,25,0.009336767546683838,-2.00032195750161
youtube-dl,31,0,-10
youtube-dl,34,0,-10
youtube-dl,41,0,-10
youtube-dl,43,0,-10
