project_name,bug_number,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
black,1,-1,23249.25,0.2502852805976898,15.788895859473026,-2.0114491844416564
black,3,-1,45665.0,0.5000328500722702,7.641869337148306,-2.0343347639484977
black,4,-1,45413.5,0.5017622751579971,0.3128618172665492,-2.002013591744274
black,6,-1,270.0,0.0029875188103036204,3.652748691099476,-2.074083769633508
black,7,-1,13.5,0.00014945366382889216,5.22681371246346,-2.0914164230667023
black,8,-1,8.0,8.857101734884803e-05,8.76797124600639,1
black,10,-1,1.3333333333333333,1.4773285467888417e-05,0.01195814648729447,4.654708520179372
black,11,-1,314.0,0.003479725611445416,13.034932315799038,-2.2308530934859636
black,14,-1,2.4,2.6670519074977497e-05,0.003417829678154372,1.6352243598042517
black,15,-1,1.0,1.1103955228852518e-05,0.0,8.0
black,18,-1,8.0,0.001557632398753894,0.08108925869894101,-2.006051437216339
black,19,-1,3.0,0.0006699419383653417,0.008178340588312887,0.33201424614166974
black,23,-1,174.5,0.0476775956284153,1.863269111249223,-2.065257924176507
cookiecutter,1,-1,764.5,0.5006548788474132,0.005263157894736842,-2.0052631578947366
cookiecutter,2,-1,9.0,0.00600400266844563,12.429133858267717,0.0
cookiecutter,3,-1,732.5,0.501368925393566,0.43595041322314043,-2.053719008264463
cookiecutter,4,-1,83.0,0.09201773835920177,5,-7
fastapi,1,-1,1.0,0.00022411474675033618,0.0,8
fastapi,2,-1,2238.5,0.5025819488100584,550.0,-12
fastapi,3,-1,14.0,0.0031631269769543608,542.5,-9.5
fastapi,4,-1,2245.0,0.5087242238839792,550.0,-12
fastapi,5,-1,2229.5,0.5056702200045362,550.0,-12.0
fastapi,6,-1,13.5,0.0030667878237164927,7.909793814432988,-2.115335051546392
fastapi,7,-1,1451.3333333333333,0.33791230112533954,537.5,-10.75
fastapi,9,-1,686.8333333333334,0.18098375054896795,550.0,-12.0
fastapi,10,-1,1283.3333333333333,0.33923693717508147,52.36416861826698,-2.003512880562061
fastapi,11,-1,1286.6666666666667,0.34210759549765135,344.3397358943578,-8.260722470806504
fastapi,12,-1,726.8,0.20387096774193547,520.1172413793104,-2.0068965517241377
fastapi,14,-1,708.75,0.2679584120982987,550.0,-12.0
fastapi,16,-1,1.0,0.00039416633819471815,0.0,8
httpie,2,-1,13.0,0.004741064916119621,41.58201058201058,-2.5238095238095237
httpie,3,-1,51.0,0.018798378179137487,275.0,-7.0
httpie,4,-1,64.0,0.024931827035449942,316.7746820109025,-7.680799515445186
httpie,5,-1,3.0,0.004975124378109453,0.11960132890365449,6
keras,1,-1,22.0,0.0005740228565464698,15.064099710661027,-2.2738927220120186
keras,3,-1,5655.0,0.14767326474121273,550.0,-12
keras,5,-1,18732.0,0.5006414368184734,182.01777907315653,-5.309414164966482
keras,6,-1,18792.5,0.506932642766583,275.0,-7
keras,7,-1,18845.0,0.5093518568571274,550.0,-12
keras,10,-1,2.0,5.3921436467067486e-05,0.006600660066006601,1.3311331133113313
keras,14,-1,6.0,0.00016739670228496499,150.0,3
keras,17,-1,21.5,0.0006070702507341315,550.0,-12.0
keras,18,-1,5070.142857142857,0.1432972374976784,12.64972652689152,-2.0077484047402008
keras,20,-1,1421.16,0.04013669227293267,2.7635490509947407,-2.1930025154356274
keras,26,-1,19555.5,0.5008708347206926,26.59365227227361,-2.4231485794131347
keras,31,-1,12878.333333333334,0.33392971356462514,49.68358999037536,-2.903031761308951
keras,33,-1,1.0,2.6079019428869475e-05,0.0,8.0
keras,35,-1,87.5,0.0023286140089418777,0.6224409448818897,-2.010236220472441
keras,38,-1,21.5,0.000588331873905429,550.0,-12
keras,40,-1,1.0,2.826455624646693e-05,0.0,8
keras,41,-1,1.5,4.3306290960533534e-05,0.004195804195804196,2.998601398601399
keras,43,-1,11490.0,0.3334203882649952,0.8369565217391304,-2.108695652173913
pandas,2,-1,2.0,1.5570866908015105e-05,0.005635023840485479,7
pandas,12,-1,128.5,0.0010060677236249755,550.0,-12
pandas,23,-1,42696.666666666664,0.33539930296436526,1.7767393561786087,-2.09865005192108
pandas,43,-1,370.0,0.0029296952325148663,550.0,-12
pandas,54,-1,41928.666666666664,0.333351884389816,0.03076923076923077,-2.005128205128205
pandas,56,-1,42204.0,0.33556758819740956,550.0,-12.0
pandas,68,-1,41881.666666666664,0.33381953632706846,39.60765191297824,-5.38909727431858
pandas,72,-1,99.33333333333333,0.0007923782781992273,550.0,-12.0
pandas,74,-1,39.0,0.0003112455408090788,550.0,-12
pandas,77,-1,41773.666666666664,0.3333945207957562,340.25,-7.011904761904762
pandas,81,-1,31.0,0.00024807938540332905,415.0,-12.0
pandas,84,-1,41798.333333333336,0.3347347908491498,550.0,-12
pandas,116,-1,62548.0,0.5011778657393311,550.0,-12.0
pandas,137,-1,364.0,0.0029068374566769417,550.0,-12
pandas,141,-1,61.5,0.0004926502983938799,550.0,-12
pandas,143,-1,82.0,0.000657188196258836,550.0,-12.0
pandas,146,-1,2.5,2.0057927294025143e-05,0.03565365025466893,1.994057724957555
pandas,168,-1,41971.0,0.33387160925940657,550.0,-12.0
sanic,1,-1,6649.5,0.5005269100489274,20.435674547983304,-2.2312239221140473
sanic,3,-1,9.0,0.000661521499448732,0.33201634877384195,-2.0088555858310624
sanic,4,-1,146.5,0.010690309398715703,275.0,-7
spacy,1,-1,35348.666666666664,0.3333364766529932,0,-10
spacy,2,-1,35384.0,0.33414231077954576,275.0,-7
spacy,3,-1,35648.333333333336,0.33334891839660874,0.015985790408525755,-2.0017761989342806
spacy,4,-1,1.0,9.9589690475242e-06,0.0,8
spacy,5,-1,49905.0,0.5001453182469608,14.741015717557854,-2.002606429192007
spacy,6,-1,40.0,0.00040179199228559373,275.0,-7.0
