project_name,bug_number,granularity,technique,crashing,predicate,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
black,1,Statement,PS,0,0,-1,23226.75,0.2500430612222928,11.962515683814303,-2.80034504391468
black,3,Statement,PS,0,0,-1,45662.5,0.5000054750120451,0,-10
black,4,Statement,PS,0,0,-1,45262.0,0.5000883899765767,402.8941605839416,-2.0060407752328215
black,6,Statement,PS,0,1,-1,2825.25,0.0312610648844826,0.6664921465968586,-2.6664921465968585
black,7,Statement,PS,0,1,-1,1.0,1.1070641765103124e-05,0.0,8
black,8,Statement,PS,0,1,-1,30108.0,0.33333702379238955,0,-10
black,10,Statement,PS,0,1,-1,5.0,5.5399820504581564e-05,0.26905829596412556,4
black,11,Statement,PS,0,1,-1,30079.333333333332,0.33333702730956627,0,-10
black,14,Statement,PS,1,1,-1,6922.153846153846,0.07692393174740625,0,-10
black,15,Statement,PS,0,1,-1,784.1130434782609,0.008706756129141896,10,-12
black,18,Statement,PS,0,0,-1,430.8333333333333,0.083884994807892,0.026928895612708018,-2.000302571860817
black,19,Statement,PS,0,0,-1,1493.0,0.333407771326485,0,-10
black,23,Statement,PS,0,1,-1,203.38888888888889,0.055570734669095324,0,-10
cookiecutter,1,Statement,PS,1,0,-1,764.0,0.5003274394237066,0,-10
cookiecutter,2,Statement,PS,0,1,-1,187.5,0.12508338892595064,0,-10
cookiecutter,3,Statement,PS,0,0,-1,731.0,0.5003422313483915,0,-10
cookiecutter,4,Statement,PS,0,1,-1,82.0909090909091,0.09100987704091917,0,-10
fastapi,1,Statement,PS,0,1,-1,39.14912280701754,0.008773895743392546,0,-10
fastapi,2,Statement,PS,0,0,-1,2227.5,0.5001122586439156,0,-10
fastapi,3,Statement,PS,1,1,-1,553.375,0.12502824220515138,0,-10
fastapi,4,Statement,PS,0,0,-1,2207.5,0.5002266032177657,10,-12
fastapi,5,Statement,PS,0,0,-1,2208.5,0.5009072352007258,140.0,-7.0
fastapi,6,Statement,PS,0,1,-1,1.0,0.00022716946842344388,0.0,8.0
fastapi,7,Statement,PS,1,0,-1,1432.0,0.33341094295692664,0,-10
fastapi,9,Statement,PS,0,1,-1,632.6666666666666,0.16671058410188844,0,-10
fastapi,10,Statement,PS,0,0,-1,1261.3333333333333,0.33342144682350866,0,-10
fastapi,11,Statement,PS,1,0,-1,1254.0,0.33342196224408405,0,-10
fastapi,12,Statement,PS,0,0,-1,714.8,0.2005049088359046,10.055172413793104,-2.0551724137931036
fastapi,14,Statement,PS,0,0,-1,661.5,0.2500945179584121,0,-10
fastapi,16,Statement,PS,1,1,-1,211.5,0.0833661805281829,0,-10
httpie,2,Statement,PS,0,1,-1,914.3333333333334,0.3334548991004133,0,-10
httpie,3,Statement,PS,1,0,-1,904.6666666666666,0.33345619855019043,0,-10
httpie,4,Statement,PS,0,1,-1,1.0,0.00038955979742890534,0.0,8
httpie,5,Statement,PS,0,1,-1,75.5,0.1252072968490879,0,-10
keras,1,Statement,PS,0,0,-1,2021.9473684210527,0.052756545645803184,3.6469596670131272,-2.0019646365422394
keras,3,Statement,PS,1,0,-1,5470.714285714285,0.14286087339307163,0,-10
keras,5,Statement,PS,0,0,-1,18708.5,0.5000133632670515,0,-10
keras,6,Statement,PS,0,0,-1,18538.0,0.500067438159208,45.01155115511551,-2.0115511551155114
keras,7,Statement,PS,0,0,-1,18499.5,0.5000135142440132,0,-10
keras,10,Statement,PS,1,1,-1,2060.6666666666665,0.055557053373235195,0,-10
keras,14,Statement,PS,1,0,-1,17922.0,0.5000139497251904,0,-10
keras,17,Statement,PS,0,0,-1,17710.5,0.5000705895640388,100,-12
keras,18,Statement,PS,1,0,-1,5054.714285714285,0.14286118042265233,0,-10
keras,20,Statement,PS,1,1,-1,1416.36,0.04000112968820605,0,-10
keras,26,Statement,PS,1,0,-1,19522.0,0.5000128063929513,0,-10
keras,31,Statement,PS,1,0,-1,12855.666666666666,0.3333419765250912,0,-10
keras,33,Statement,PS,1,1,-1,7669.2,0.20000521580388578,0,-10
keras,35,Statement,PS,1,1,-1,4697.125,0.12500332659144134,0,-10
keras,38,Statement,PS,1,0,-1,18272.5,0.5000136821366025,0,-10
keras,40,Statement,PS,0,0,-1,8845.25,0.2500070661390616,0,-10
keras,41,Statement,PS,0,1,-1,2164.875,0.06250180442879003,0,-10
keras,43,Statement,PS,0,0,-1,11487.333333333334,0.333343006103518,0,-10
pandas,2,Statement,PS,1,1,-1,25689.2,0.20000155708669082,0,-10
pandas,12,Statement,PS,1,0,-1,9826.0,0.07693090624388334,5,-7
pandas,23,Statement,PS,1,0,-1,42440.666666666664,0.33338832111818967,61.56542056074767,-5.030287296642437
pandas,43,Statement,PS,0,1,-1,4.0,3.167238089205261e-05,60.0,5
pandas,54,Statement,PS,0,1,-1,41926.666666666664,0.3333359834842594,0,-10
pandas,56,Statement,PS,0,0,-1,41923.333333333336,0.3333359836949752,0,-10
pandas,68,Statement,PS,1,0,-1,41821.0,0.33333599018029364,0,-10
pandas,72,Statement,PS,1,1,-1,15670.25,0.12500099712031654,0,-10
pandas,74,Statement,PS,0,1,-1,1.0,7.980654892540482e-06,0.0,8
pandas,77,Statement,PS,1,0,-1,41766.333333333336,0.33333599365778654,0,-10
pandas,81,Statement,PS,1,1,-1,20826.833333333332,0.16666800042680324,0,-10
pandas,84,Statement,PS,1,0,-1,41623.666666666664,0.3333360027762206,0,-10
pandas,116,Statement,PS,1,0,-1,62401.5,0.5000040063460521,0,-10
pandas,137,Statement,PS,1,1,-1,31308.75,0.2500259539058632,100,-12
pandas,141,Statement,PS,1,0,-1,62418.0,0.5000040052869789,0,-10
pandas,143,Statement,PS,1,1,-1,41591.666666666664,0.3333360048300661,0,-10
pandas,146,Statement,PS,1,1,-1,13848.888888888889,0.1111120025745464,0,-10
pandas,168,Statement,PS,1,1,-1,41903.666666666664,0.33333598493888045,0,-10
sanic,1,Statement,PS,0,0,-1,6643.0,0.5000376364320662,0,-10
sanic,3,Statement,PS,0,1,-1,3401.5,0.2500183755972069,0,-10
sanic,4,Statement,PS,0,1,-1,4568.333333333333,0.33335765713173765,0,-10
spacy,1,Statement,PS,0,0,-1,35348.666666666664,0.3333364766529932,0,-10
spacy,2,Statement,PS,0,0,-1,35298.666666666664,0.3333364811054976,0,-10
spacy,3,Statement,PS,0,0,-1,35647.0,0.3333364503459884,0,-10
spacy,4,Statement,PS,1,0,-1,50206.5,0.5000049794845237,0,-10
spacy,5,Statement,PS,1,0,-1,49891.0,0.5000050109740332,0,-10
spacy,6,Statement,PS,0,1,-1,4.0,4.017919922855937e-05,30.0,5
thefuck,2,Statement,PS,0,0,-1,2172.0,0.500115127791849,0,-10
thefuck,3,Statement,PS,0,0,-1,1432.6666666666667,0.3334109068342255,0,-10
thefuck,4,Statement,PS,1,0,-1,1033.75,0.2500604741170779,0,-10
thefuck,6,Statement,PS,1,0,-1,1363.6666666666667,0.3334148329258354,0,-10
thefuck,7,Statement,PS,0,0,-1,1317.3333333333333,0.3334177001602969,0,-10
thefuck,8,Statement,PS,0,0,-1,1270.0,0.33342084536623784,0,-10
thefuck,13,Statement,PS,0,0,-1,439.3333333333333,0.16672991777356103,0,-10
thefuck,14,Statement,PS,0,1,-1,424.6666666666667,0.16673210312786285,0,-10
thefuck,15,Statement,PS,0,0,-1,505.6,0.2000791452314998,0,-10
thefuck,17,Statement,PS,0,0,-1,222.72727272727272,0.09094621181187126,0,-10
thefuck,19,Statement,PS,0,0,-1,1122.5,0.500222816399287,0,-10
thefuck,20,Statement,PS,0,0,-1,446.4,0.20008964589870012,0,-10
thefuck,25,Statement,PS,0,0,-1,909.5,0.5002750275027503,0,-10
thefuck,26,Statement,PS,0,0,-1,608.3333333333334,0.33351608187134507,0,-10
thefuck,28,Statement,PS,0,0,-1,180.0,0.1000555864369094,0,-10
thefuck,29,Statement,PS,0,0,-1,599.3333333333334,0.3335188276757559,0,-10
tornado,1,Statement,PS,0,0,-1,5887.0,0.33335220838052093,0,-10
tornado,5,Statement,PS,0,1,-1,6028.333333333333,0.33335176583351767,0,-10
tornado,6,Statement,PS,0,0,-1,3010.6666666666665,0.16667589363154883,0,-10
tornado,8,Statement,PS,0,0,-1,5827.666666666667,0.33369598411971296,211.11057304277642,-2.36319612590799
tqdm,4,Statement,PS,1,0,-1,1013.0,0.5002469135802469,0,-10
tqdm,5,Statement,PS,1,1,-1,193.3,0.10005175983436854,0,-10
tqdm,6,Statement,PS,1,0,-1,942.5,0.5002653927813163,0,-10
