project_name,bug_number,granularity,technique,crashing,predicate,experiment_time_seconds,e_inspect,exam_score,cumulative_distance,sv_comp_overall_score
black,1,Statement,ST,0,0,-1,23223.0,0.2500026913263933,0,-10
black,3,Statement,ST,0,0,-1,45662.5,0.5000054750120451,0,-10
black,4,Statement,ST,0,0,-1,45254.5,0.5000055243735361,0,-10
black,6,Statement,ST,0,1,-1,2824.28125,0.03125034577764008,0,-10
black,7,Statement,ST,0,1,-1,22582.5,0.25000276766044127,0,-10
black,8,Statement,ST,0,1,-1,30108.0,0.33333702379238955,0,-10
black,10,Statement,ST,0,1,-1,22563.5,0.2500027699910252,0,-10
black,11,Statement,ST,0,1,-1,30079.333333333332,0.33333702730956627,0,-10
black,14,Statement,ST,1,1,-1,3.090909090909091,3.434839577838011e-05,0.005126744517231559,1.0294485728834917
black,15,Statement,ST,0,1,-1,783.1217391304348,0.008695748730045468,0,-10
black,18,Statement,ST,0,0,-1,428.0833333333333,0.08334955867082035,0,-10
black,19,Statement,ST,0,0,-1,1493.0,0.333407771326485,0,-10
black,23,Statement,ST,0,1,-1,203.38888888888889,0.055570734669095324,0,-10
cookiecutter,1,Statement,ST,1,0,-1,21.5,0.014079895219384414,1.6231203007518795,-1.7914160401002506
cookiecutter,2,Statement,ST,0,1,-1,187.5,0.12508338892595064,0,-10
cookiecutter,3,Statement,ST,0,0,-1,731.0,0.5003422313483915,0,-10
cookiecutter,4,Statement,ST,0,1,-1,82.0909090909091,0.09100987704091917,0,-10
fastapi,1,Statement,ST,0,1,-1,39.14912280701754,0.008773895743392546,0,-10
fastapi,2,Statement,ST,0,0,-1,2227.5,0.5001122586439156,0,-10
fastapi,3,Statement,ST,1,1,-1,5.125,0.001157930411206507,0.1190904419321685,-0.257939362795478
fastapi,4,Statement,ST,0,0,-1,2207.0,0.5001133016088829,0,-10
fastapi,5,Statement,ST,0,0,-1,2205.0,0.5001134044000908,0,-10
fastapi,6,Statement,ST,0,1,-1,1100.75,0.2500567923671059,0,-10
fastapi,7,Statement,ST,1,0,-1,3.0,0.0006984866123399302,0.5217391304347827,-0.08695652173913038
fastapi,9,Statement,ST,0,1,-1,632.6666666666666,0.16671058410188844,0,-10
fastapi,10,Statement,ST,0,0,-1,1261.3333333333333,0.33342144682350866,0,-10
fastapi,11,Statement,ST,1,0,-1,1435.3333333333333,0.38163608969245766,550.0,-12.0
fastapi,12,Statement,ST,0,0,-1,713.2,0.20005610098176718,0,-10
fastapi,14,Statement,ST,0,0,-1,661.5,0.2500945179584121,0,-10
fastapi,16,Statement,ST,1,1,-1,6.0,0.002364998029168309,5.133000534854699,-0.6951328222499555
httpie,2,Statement,ST,0,1,-1,914.3333333333334,0.3334548991004133,0,-10
httpie,3,Statement,ST,1,0,-1,6.333333333333333,0.0023344391202850473,0.5526315789473683,-0.9152046783625734
httpie,4,Statement,ST,0,1,-1,1284.0,0.5001947798987144,0,-10
httpie,5,Statement,ST,0,1,-1,75.5,0.1252072968490879,0,-10
keras,1,Statement,ST,0,0,-1,2017.2105263157894,0.05263295220779078,0,-10
keras,3,Statement,ST,1,0,-1,20.714285714285715,0.0005409277096747719,10.180112881806119,-1.7684262948207174
keras,5,Statement,ST,0,0,-1,18708.5,0.5000133632670515,0,-10
keras,6,Statement,ST,0,0,-1,18536.0,0.5000134876318416,0,-10
keras,7,Statement,ST,0,0,-1,18499.5,0.5000135142440132,0,-10
keras,10,Statement,ST,1,1,-1,5.611111111111111,0.0001512795856437171,0.5256930693069305,-0.3250330033003297
keras,14,Statement,ST,1,0,-1,16.0,0.00044639120609323994,550.0,-12.0
keras,17,Statement,ST,0,0,-1,17708.5,0.5000141179128078,0,-10
keras,18,Statement,ST,1,0,-1,24.5,0.0006924424848793172,0.20524726526891518,-1.7953984351261014
keras,20,Statement,ST,1,1,-1,1523.88,0.04303773158608224,275.0,-7.0
keras,26,Statement,ST,1,0,-1,14.0,0.0003585790026381169,0.14374061998654458,-1.6322430954475668
keras,31,Statement,ST,1,0,-1,44.0,0.0011409013120365088,0.4896535129932625,-2.0089027911453323
keras,33,Statement,ST,1,1,-1,5.2,0.00013561090103012127,0.26187845303867396,-0.41745856353591204
keras,35,Statement,ST,1,1,-1,15.333333333333334,0.00040806188347171954,0.615923009623797,-1.5667541557305338
keras,38,Statement,ST,1,0,-1,5.5,0.00015050350262697023,0.036072423398328696,-1.0017177344475394
keras,40,Statement,ST,0,0,-1,8845.25,0.2500070661390616,0,-10
keras,41,Statement,ST,0,1,-1,2164.875,0.06250180442879003,0,-10
keras,43,Statement,ST,0,0,-1,11487.333333333334,0.333343006103518,0,-10
pandas,2,Statement,ST,1,1,-1,6.5,5.0605317451049084e-05,0.07427828348504552,-0.8035370611183357
pandas,12,Statement,ST,1,0,-1,13.75,0.00010765316108827559,0.19857114017182198,-1.361408549504375
pandas,23,Statement,ST,1,0,-1,42442.666666666664,0.3334040319138629,550.0,-12.0
pandas,43,Statement,ST,0,1,-1,25258.8,0.2000015836190446,0,-10
pandas,54,Statement,ST,0,1,-1,41926.666666666664,0.3333359834842594,0,-10
pandas,56,Statement,ST,0,0,-1,41923.333333333336,0.3333359836949752,0,-10
pandas,68,Statement,ST,1,0,-1,41991.666666666664,0.3346962958239679,550.0,-12.0
pandas,72,Statement,ST,1,1,-1,12.875,0.00010270339260216495,0.44034536891679754,-1.321731769630929
pandas,74,Statement,ST,0,1,-1,62652.0,0.5000039903274462,0,-10
pandas,77,Statement,ST,1,0,-1,13.333333333333334,0.00010641297812681234,0.9461669283097853,-1.5043825222396652
pandas,81,Statement,ST,1,1,-1,93.0,0.0007442381562099872,275.0,-7.0
pandas,84,Statement,ST,1,0,-1,52.66666666666667,0.00042177197618856947,550.0,-12.0
pandas,116,Statement,ST,1,0,-1,62634.0,0.5018669572603003,16.763055148853102,-2.304782820888238
pandas,137,Statement,ST,1,1,-1,8.666666666666668,6.921041563516529e-05,0.14194961664841185,-1.2031544359255202
pandas,141,Statement,ST,1,0,-1,62429.5,0.5000961268874915,550.0,-12.0
pandas,143,Statement,ST,1,1,-1,41607.0,0.33345889367977305,550.0,-12.0
