project_name,bug_number,experiment_time_seconds,e_inspect,exam_score
black,1,-1,23249.25,0.2502852805976898
black,3,-1,45665.0,0.5000328500722702
black,4,-1,45413.5,0.5017622751579971
black,6,-1,270.0,0.0029875188103036204
black,7,-1,13.5,0.00014945366382889216
black,8,-1,8.0,8.857101734884803e-05
black,10,-1,1.3333333333333333,1.4773285467888417e-05
black,11,-1,314.0,0.003479725611445416
black,14,-1,2.4,2.6670519074977497e-05
black,15,-1,1.0,1.1103955228852518e-05
black,18,-1,8.0,0.001557632398753894
black,19,-1,3.0,0.0006699419383653417
black,23,-1,174.5,0.0476775956284153
cookiecutter,1,-1,764.5,0.5006548788474132
cookiecutter,2,-1,9.0,0.00600400266844563
cookiecutter,3,-1,732.5,0.501368925393566
cookiecutter,4,-1,83.0,0.09201773835920177
fastapi,1,-1,1.0,0.00022411474675033618
fastapi,2,-1,2238.5,0.5025819488100584
fastapi,3,-1,14.0,0.0031631269769543608
fastapi,4,-1,2245.0,0.5087242238839792
fastapi,5,-1,2229.5,0.5056702200045362
fastapi,6,-1,13.5,0.0030667878237164927
fastapi,7,-1,1451.3333333333333,0.33791230112533954
fastapi,9,-1,686.8333333333334,0.18098375054896795
fastapi,10,-1,1283.3333333333333,0.33923693717508147
fastapi,11,-1,1286.6666666666667,0.34210759549765135
fastapi,12,-1,726.8,0.20387096774193547
fastapi,14,-1,708.75,0.2679584120982987
fastapi,16,-1,1.0,0.00039416633819471815
httpie,2,-1,13.0,0.004741064916119621
httpie,3,-1,51.0,0.018798378179137487
httpie,4,-1,64.0,0.024931827035449942
httpie,5,-1,3.0,0.004975124378109453
keras,1,-1,22.0,0.0005740228565464698
keras,3,-1,5655.0,0.14767326474121273
keras,5,-1,18732.0,0.5006414368184734
keras,6,-1,18792.5,0.506932642766583
keras,7,-1,18845.0,0.5093518568571274
keras,10,-1,2.0,5.3921436467067486e-05
keras,14,-1,6.0,0.00016739670228496499
keras,17,-1,21.5,0.0006070702507341315
keras,18,-1,5070.142857142857,0.1432972374976784
keras,20,-1,1421.16,0.04013669227293267
keras,26,-1,19555.5,0.5008708347206926
keras,31,-1,12878.333333333334,0.33392971356462514
keras,33,-1,1.0,2.6079019428869475e-05
keras,35,-1,87.5,0.0023286140089418777
keras,38,-1,21.5,0.000588331873905429
keras,40,-1,1.0,2.826455624646693e-05
keras,41,-1,1.5,4.3306290960533534e-05
keras,43,-1,11490.0,0.3334203882649952
pandas,2,-1,2.0,1.5570866908015105e-05
pandas,12,-1,128.5,0.0010060677236249755
pandas,23,-1,42696.666666666664,0.33539930296436526
pandas,43,-1,370.0,0.0029296952325148663
pandas,54,-1,41928.666666666664,0.333351884389816
pandas,56,-1,42204.0,0.33556758819740956
pandas,68,-1,41881.666666666664,0.33381953632706846
pandas,72,-1,99.33333333333333,0.0007923782781992273
pandas,74,-1,39.0,0.0003112455408090788
pandas,77,-1,41773.666666666664,0.3333945207957562
pandas,81,-1,31.0,0.00024807938540332905
pandas,84,-1,41798.333333333336,0.3347347908491498
pandas,116,-1,62548.0,0.5011778657393311
pandas,137,-1,364.0,0.0029068374566769417
pandas,141,-1,61.5,0.0004926502983938799
pandas,143,-1,82.0,0.000657188196258836
pandas,146,-1,2.5,2.0057927294025143e-05
pandas,168,-1,41971.0,0.33387160925940657
sanic,1,-1,6649.5,0.5005269100489274
sanic,3,-1,9.0,0.000661521499448732
sanic,4,-1,146.5,0.010690309398715703
spacy,1,-1,35348.666666666664,0.3333364766529932
spacy,2,-1,35384.0,0.33414231077954576
spacy,3,-1,35648.333333333336,0.33334891839660874
spacy,4,-1,1.0,9.9589690475242e-06
spacy,5,-1,49905.0,0.5001453182469608
spacy,6,-1,40.0,0.00040179199228559373
thefuck,2,-1,2174.5,0.5006907667510937
thefuck,3,-1,1432.6666666666667,0.3334109068342255
thefuck,4,-1,1.0,0.00024189646831156264
thefuck,6,-1,1.0,0.00024449877750611245
thefuck,7,-1,1324.0,0.3351050366995697
thefuck,8,-1,1272.0,0.333945917563665
thefuck,13,-1,449.3333333333333,0.17052498418722328
thefuck,14,-1,1.0,0.00039261876717707107
thefuck,15,-1,1.0,0.0003957261574990107
thefuck,17,-1,4.0,0.0016333197223356473
thefuck,19,-1,1125.5,0.5015597147950089
thefuck,20,-1,1.0,0.00044822949350067237
thefuck,25,-1,910.0,0.5005500550055005
thefuck,26,-1,1.5,0.0008223684210526315
thefuck,28,-1,1.0,0.0005558643690939411
thefuck,29,-1,600.0,0.333889816360601
tornado,1,-1,84.5,0.004784824462061155
tornado,5,-1,3.6666666666666665,0.00020275750202757503
tornado,6,-1,3020.6666666666665,0.16722951152447912
tornado,8,-1,6249.0,0.35782180485570314
tqdm,4,-1,1031.5,0.5093827160493827
tqdm,5,-1,40.0,0.020703933747412008
tqdm,6,-1,950.0,0.5042462845010616
tqdm,7,-1,921.0,0.5046575342465753
tqdm,8,-1,588.5,0.5194174757281553
tqdm,9,-1,1.3333333333333333,0.0024875621890547263
youtube-dl,1,-1,2.333333333333333,2.1483793546882238e-05
youtube-dl,2,-1,10.666666666666666,0.00010130846210588634
youtube-dl,6,-1,1.5,2.3032275895955532e-05
youtube-dl,7,-1,3.5,5.5748462935236215e-05
youtube-dl,13,-1,4.0,3.483683298351347e-05
youtube-dl,15,-1,53021.0,0.5000613039828726
youtube-dl,17,-1,2.5,2.458718122719539e-05
youtube-dl,18,-1,20.0,0.00019793357349273585
youtube-dl,20,-1,33454.666666666664,0.3333898040466248
youtube-dl,21,-1,1.3333333333333333,1.3872848407917234e-05
youtube-dl,24,-1,143.5,0.001608167473552089
youtube-dl,25,-1,5.5,6.525169357804695e-05
youtube-dl,31,-1,2.666666666666667,6.631189801230087e-05
youtube-dl,34,-1,9125.25,0.2501919227922024
youtube-dl,41,-1,6837.666666666667,0.3334796462478866
youtube-dl,43,-1,8537.5,0.5000878631677601
