project_name,bug_number,experiment_time_seconds,e_inspect,exam_score
black,1,-1,71.5,0.0007697193484837067
black,3,-1,46853.5,0.5130469537032981
black,4,-1,630.0,0.0069607106554116765
black,6,-1,219.0,0.002423209701690714
black,7,-1,401.0,0.004439327347806352
black,8,-1,252.0,0.002789987046488713
black,10,-1,1.0,1.1079964100916312e-05
black,11,-1,455.3333333333333,0.005045971534219149
black,14,-1,1.0,1.1112716281240624e-05
black,15,-1,1.0,1.1103955228852518e-05
black,18,-1,1.5,0.0002920560747663551
black,19,-1,16.0,0.003573023671281822
black,23,-1,127.5,0.03483606557377049
cookiecutter,1,-1,3.0,0.0019646365422396855
cookiecutter,2,-1,1.0,0.00066711140760507
cookiecutter,3,-1,6.5,0.004449007529089665
cookiecutter,4,-1,29.25,0.03242793791574279
fastapi,1,-1,4.666666666666666,0.0010458688181682353
fastapi,2,-1,2551.0,0.5727436012572968
fastapi,3,-1,4.5,0.001016719385449616
fastapi,4,-1,107.5,0.02435984590981192
fastapi,5,-1,2380.0,0.5398049444318439
fastapi,6,-1,69.0,0.01567469332121763
fastapi,7,-1,38.0,0.008847497089639115
fastapi,9,-1,831.8333333333334,0.21919191919191922
fastapi,10,-1,6.0,0.0015860428231562252
fastapi,11,-1,1369.3333333333333,0.36408756536382164
fastapi,12,-1,1.0,0.00028050490883590464
fastapi,14,-1,870.75,0.3292060491493384
fastapi,16,-1,1.0,0.00039416633819471815
httpie,2,-1,248.0,0.09044493070751276
httpie,3,-1,223.33333333333334,0.0823196952942622
httpie,4,-1,163.0,0.06349824698091157
httpie,5,-1,28.0,0.04643449419568822
keras,1,-1,1.0,2.6091948024839534e-05
keras,3,-1,197.5,0.00515746592155429
keras,5,-1,139.0,0.0037149882403249945
keras,6,-1,791.0,0.02133743357341318
keras,7,-1,28.5,0.0007703119087518244
keras,10,-1,1.5,4.044107735030061e-05
keras,14,-1,1.0,2.7899450380827496e-05
keras,17,-1,284.5,0.008033092387621414
keras,18,-1,11.0,0.0003108925442315302
keras,20,-1,71.5,0.002019317668323543
