Entity,Score
black.py::2911,1.0
black.py::2912,1.0
black.py::2913,1.0
black.py::2914,1.0
black.py::2915,1.0
black.py::2916,1.0
black.py::2917,1.0
black.py::2918,1.0
black.py::2919,1.0
black.py::2920,1.0
black.py::2921,1.0
black.py::2922,1.0
black.py::2923,1.0
black.py::2924,1.0
black.py::2925,1.0
black.py::2926,1.0
black.py::2927,1.0
black.py::2928,1.0
black.py::2929,1.0
black.py::2930,1.0
black.py::2931,1.0
black.py::2932,1.0
black.py::2933,1.0
black.py::2934,1.0
black.py::2935,1.0
black.py::2936,1.0
black.py::2937,1.0
black.py::2938,1.0
black.py::2939,1.0
black.py::2940,1.0
black.py::2941,1.0
black.py::2942,1.0
black.py::2943,1.0
