Entity,Score
cookiecutter/generate.py::87,1.0
cookiecutter/generate.py::85,0.9780439121756487
cookiecutter/generate.py::84,0.9780439121756487
cookiecutter/generate.py::82,0.9780439121756487
cookiecutter/utils.py::69,0.0
cookiecutter/utils.py::68,0.0
cookiecutter/utils.py::60,0.0
cookiecutter/utils.py::58,0.0
cookiecutter/utils.py::57,0.0
cookiecutter/utils.py::56,0.0
cookiecutter/utils.py::55,0.0
cookiecutter/utils.py::54,0.0
cookiecutter/utils.py::45,0.0
cookiecutter/utils.py::41,0.0
cookiecutter/utils.py::40,0.0
cookiecutter/utils.py::39,0.0
cookiecutter/utils.py::38,0.0
cookiecutter/utils.py::30,0.0
cookiecutter/hooks.py::88,0.0
cookiecutter/hooks.py::86,0.0
cookiecutter/hooks.py::85,0.0
cookiecutter/hooks.py::84,0.0
cookiecutter/hooks.py::83,0.0
cookiecutter/hooks.py::82,0.0
cookiecutter/hooks.py::81,0.0
cookiecutter/hooks.py::79,0.0
cookiecutter/hooks.py::77,0.0
cookiecutter/hooks.py::75,0.0
cookiecutter/hooks.py::74,0.0
cookiecutter/hooks.py::73,0.0
cookiecutter/hooks.py::64,0.0
cookiecutter/hooks.py::63,0.0
cookiecutter/hooks.py::62,0.0
cookiecutter/hooks.py::60,0.0
cookiecutter/hooks.py::59,0.0
cookiecutter/hooks.py::58,0.0
cookiecutter/hooks.py::57,0.0
cookiecutter/hooks.py::55,0.0
cookiecutter/hooks.py::54,0.0
cookiecutter/hooks.py::53,0.0
cookiecutter/hooks.py::51,0.0
cookiecutter/hooks.py::36,0.0
cookiecutter/hooks.py::34,0.0
cookiecutter/hooks.py::33,0.0
cookiecutter/hooks.py::32,0.0
cookiecutter/hooks.py::30,0.0
cookiecutter/hooks.py::29,0.0
cookiecutter/hooks.py::131,0.0
cookiecutter/hooks.py::130,0.0
cookiecutter/hooks.py::129,0.0
cookiecutter/hooks.py::128,0.0
cookiecutter/hooks.py::127,0.0
cookiecutter/hooks.py::126,0.0
cookiecutter/hooks.py::125,0.0
cookiecutter/hooks.py::114,0.0
cookiecutter/hooks.py::112,0.0
cookiecutter/hooks.py::111,0.0
cookiecutter/hooks.py::110,0.0
cookiecutter/hooks.py::109,0.0
cookiecutter/hooks.py::108,0.0
cookiecutter/hooks.py::106,0.0
cookiecutter/hooks.py::105,0.0
cookiecutter/hooks.py::103,0.0
cookiecutter/generate.py::99,0.0
cookiecutter/generate.py::86,0.0
cookiecutter/generate.py::67,0.0
cookiecutter/generate.py::64,0.0
cookiecutter/generate.py::63,0.0
cookiecutter/generate.py::59,0.0
cookiecutter/generate.py::57,0.0
cookiecutter/generate.py::55,0.0
cookiecutter/generate.py::53,0.0
cookiecutter/generate.py::51,0.0
cookiecutter/generate.py::50,0.0
cookiecutter/generate.py::43,0.0
cookiecutter/generate.py::42,0.0
cookiecutter/generate.py::39,0.0
cookiecutter/generate.py::380,0.0
cookiecutter/generate.py::38,0.0
cookiecutter/generate.py::377,0.0
cookiecutter/generate.py::376,0.0
cookiecutter/generate.py::375,0.0
cookiecutter/generate.py::374,0.0
cookiecutter/generate.py::373,0.0
cookiecutter/generate.py::372,0.0
cookiecutter/generate.py::371,0.0
cookiecutter/generate.py::369,0.0
cookiecutter/generate.py::368,0.0
cookiecutter/generate.py::367,0.0
cookiecutter/generate.py::366,0.0
cookiecutter/generate.py::365,0.0
cookiecutter/generate.py::363,0.0
cookiecutter/generate.py::362,0.0
cookiecutter/generate.py::361,0.0
cookiecutter/generate.py::351,0.0
cookiecutter/generate.py::350,0.0
cookiecutter/generate.py::349,0.0
cookiecutter/generate.py::347,0.0
cookiecutter/generate.py::346,0.0
cookiecutter/generate.py::345,0.0
cookiecutter/generate.py::344,0.0
cookiecutter/generate.py::343,0.0
cookiecutter/generate.py::342,0.0
cookiecutter/generate.py::340,0.0
cookiecutter/generate.py::339,0.0
cookiecutter/generate.py::338,0.0
cookiecutter/generate.py::337,0.0
cookiecutter/generate.py::336,0.0
