Entity,Score
cookiecutter/environment.py::31,0.0
cookiecutter/environment.py::46,0.0
cookiecutter/extensions.py::30,0.0
cookiecutter/hooks.py::105,0.0
cookiecutter/hooks.py::106,0.0
cookiecutter/hooks.py::123,0.0
cookiecutter/hooks.py::30,0.0
cookiecutter/hooks.py::32,0.0
cookiecutter/hooks.py::36,0.0
cookiecutter/hooks.py::53,0.0
cookiecutter/hooks.py::57,0.0
cookiecutter/hooks.py::58,0.0
cookiecutter/hooks.py::71,0.0
cookiecutter/hooks.py::81,0.0
cookiecutter/utils.py::56,0.0
cookiecutter/utils.py::69,0.0
