Entity,Score
keras/activations.py::95,0.0
keras/activations.py::97,0.0
keras/backend/tensorflow_backend.py::65,0.0
keras/backend/tensorflow_backend.py::67,0.0
keras/constraints.py::169,0.0
keras/engine/topology.py::249,0.0
keras/engine/topology.py::258,0.0
keras/engine/topology.py::279,0.0
keras/engine/topology.py::283,0.0
keras/engine/topology.py::2831,0.0
keras/engine/topology.py::285,0.0
keras/engine/topology.py::288,0.0
keras/engine/topology.py::289,0.0
keras/engine/topology.py::290,0.0
keras/engine/topology.py::311,0.0
keras/engine/topology.py::58,0.0
keras/engine/topology.py::64,0.0
keras/initializers.py::179,0.0
keras/initializers.py::182,0.0
keras/initializers.py::187,0.0
keras/initializers.py::21,0.0
keras/initializers.py::350,0.0
keras/initializers.py::489,0.0
keras/layers/recurrent.py::1661,0.0
keras/layers/recurrent.py::1662,0.0
keras/layers/recurrent.py::354,0.0
keras/layers/recurrent.py::356,0.0
keras/layers/recurrent.py::359,0.0
keras/layers/recurrent.py::372,0.0
keras/layers/recurrent.py::373,0.0
keras/layers/recurrent.py::381,0.0
keras/layers/recurrent.py::382,0.0
keras/layers/recurrent.py::394,0.0
keras/layers/recurrent.py::397,0.0
keras/layers/recurrent.py::398,0.0
keras/layers/recurrent.py::402,0.0
keras/layers/recurrent.py::403,0.0
keras/layers/recurrent.py::407,0.0
keras/layers/recurrent.py::408,0.0
keras/layers/recurrent.py::409,0.0
keras/layers/recurrent.py::43,0.0
keras/layers/recurrent.py::44,0.0
keras/layers/recurrent.py::47,0.0
keras/layers/recurrent.py::64,0.0
keras/layers/recurrent.py::65,0.0
keras/regularizers.py::72,0.0
keras/utils/generic_utils.py::120,0.0
keras/utils/generic_utils.py::123,0.0
keras/utils/generic_utils.py::126,0.0
keras/utils/generic_utils.py::131,0.0
keras/utils/generic_utils.py::133,0.0
keras/utils/generic_utils.py::136,0.0
keras/utils/generic_utils.py::137,0.0
keras/utils/generic_utils.py::138,0.0
keras/utils/generic_utils.py::148,0.0
keras/utils/generic_utils.py::153,0.0
keras/utils/generic_utils.py::159,0.0
keras/utils/generic_utils.py::257,0.0
keras/utils/generic_utils.py::262,0.0
keras/utils/generic_utils.py::271,0.0
keras/utils/generic_utils.py::272,0.0
keras/utils/generic_utils.py::276,0.0
keras/utils/generic_utils.py::44,0.0
