Entity,Score
keras/utils/np_utils.py::30,0.6915611814345991
keras/utils/np_utils.py::29,0.6915611814345991
keras/utils/np_utils.py::28,0.6915611814345991
keras/utils/np_utils.py::27,0.6915611814345991
keras/utils/np_utils.py::26,0.6915611814345991
keras/utils/np_utils.py::25,0.6915611814345991
keras/utils/np_utils.py::23,0.6915611814345991
keras/utils/np_utils.py::22,0.6915611814345991
keras/utils/np_utils.py::21,0.6915611814345991
keras/utils/np_utils.py::20,0.6915611814345991
keras/utils/test_utils.py::38,0.1
keras/utils/test_utils.py::36,0.1
keras/utils/test_utils.py::35,0.1
keras/utils/test_utils.py::34,0.1
keras/utils/test_utils.py::33,0.1
keras/utils/test_utils.py::32,0.1
keras/utils/test_utils.py::31,0.1
keras/utils/test_utils.py::29,0.1
keras/utils/test_utils.py::28,0.1
keras/utils/test_utils.py::27,0.1
keras/utils/test_utils.py::26,0.1
keras/utils/test_utils.py::25,0.1
keras/utils/test_utils.py::24,0.1
keras/utils/test_utils.py::160,0.1
keras/utils/test_utils.py::159,0.1
keras/utils/test_utils.py::158,0.1
keras/utils/test_utils.py::157,0.1
keras/utils/np_utils.py::24,0.1
keras/utils/layer_utils.py::99,0.1
keras/utils/layer_utils.py::96,0.1
keras/utils/layer_utils.py::95,0.1
keras/utils/layer_utils.py::94,0.1
keras/utils/layer_utils.py::92,0.1
keras/utils/layer_utils.py::91,0.1
keras/utils/layer_utils.py::90,0.1
keras/utils/layer_utils.py::88,0.1
keras/utils/layer_utils.py::87,0.1
keras/utils/layer_utils.py::86,0.1
keras/utils/layer_utils.py::85,0.1
keras/utils/layer_utils.py::84,0.1
keras/utils/layer_utils.py::83,0.1
keras/utils/layer_utils.py::82,0.1
keras/utils/layer_utils.py::81,0.1
keras/utils/layer_utils.py::80,0.1
keras/utils/layer_utils.py::68,0.1
keras/utils/layer_utils.py::66,0.1
keras/utils/layer_utils.py::65,0.1
keras/utils/layer_utils.py::64,0.1
keras/utils/layer_utils.py::63,0.1
keras/utils/layer_utils.py::62,0.1
keras/utils/layer_utils.py::36,0.1
keras/utils/layer_utils.py::35,0.1
keras/utils/layer_utils.py::17,0.1
keras/utils/layer_utils.py::161,0.1
keras/utils/layer_utils.py::160,0.1
keras/utils/layer_utils.py::159,0.1
keras/utils/layer_utils.py::158,0.1
keras/utils/layer_utils.py::156,0.1
keras/utils/layer_utils.py::155,0.1
keras/utils/layer_utils.py::153,0.1
keras/utils/layer_utils.py::150,0.1
keras/utils/layer_utils.py::149,0.1
keras/utils/layer_utils.py::147,0.1
keras/utils/layer_utils.py::145,0.1
keras/utils/layer_utils.py::144,0.1
keras/utils/layer_utils.py::141,0.1
keras/utils/layer_utils.py::140,0.1
keras/utils/layer_utils.py::139,0.1
keras/utils/layer_utils.py::138,0.1
keras/utils/layer_utils.py::104,0.1
keras/utils/layer_utils.py::102,0.1
keras/utils/layer_utils.py::101,0.1
keras/utils/layer_utils.py::100,0.1
keras/utils/generic_utils.py::48,0.1
keras/utils/generic_utils.py::47,0.1
keras/utils/generic_utils.py::44,0.1
keras/utils/generic_utils.py::43,0.1
keras/utils/generic_utils.py::42,0.1
keras/utils/generic_utils.py::41,0.1
keras/utils/generic_utils.py::387,0.1
keras/utils/generic_utils.py::385,0.1
keras/utils/generic_utils.py::384,0.1
keras/utils/generic_utils.py::382,0.1
keras/utils/generic_utils.py::38,0.1
keras/utils/generic_utils.py::379,0.1
keras/utils/generic_utils.py::378,0.1
keras/utils/generic_utils.py::377,0.1
keras/utils/generic_utils.py::376,0.1
keras/utils/generic_utils.py::375,0.1
keras/utils/generic_utils.py::374,0.1
keras/utils/generic_utils.py::373,0.1
keras/utils/generic_utils.py::372,0.1
keras/utils/generic_utils.py::370,0.1
keras/utils/generic_utils.py::37,0.1
keras/utils/generic_utils.py::369,0.1
keras/utils/generic_utils.py::367,0.1
keras/utils/generic_utils.py::366,0.1
keras/utils/generic_utils.py::364,0.1
keras/utils/generic_utils.py::363,0.1
keras/utils/generic_utils.py::362,0.1
keras/utils/generic_utils.py::358,0.1
keras/utils/generic_utils.py::356,0.1
keras/utils/generic_utils.py::355,0.1
keras/utils/generic_utils.py::354,0.1
keras/utils/generic_utils.py::353,0.1
keras/utils/generic_utils.py::352,0.1
keras/utils/generic_utils.py::351,0.1
keras/utils/generic_utils.py::350,0.1
keras/utils/generic_utils.py::348,0.1
keras/utils/generic_utils.py::346,0.1
keras/utils/generic_utils.py::345,0.1
keras/utils/generic_utils.py::343,0.1
keras/utils/generic_utils.py::341,0.1
keras/utils/generic_utils.py::339,0.1
keras/utils/generic_utils.py::336,0.1
keras/utils/generic_utils.py::334,0.1
keras/utils/generic_utils.py::333,0.1
keras/utils/generic_utils.py::332,0.1
keras/utils/generic_utils.py::329,0.1
keras/utils/generic_utils.py::328,0.1
keras/utils/generic_utils.py::326,0.1
keras/utils/generic_utils.py::325,0.1
keras/utils/generic_utils.py::321,0.1
keras/utils/generic_utils.py::320,0.1
keras/utils/generic_utils.py::319,0.1
keras/utils/generic_utils.py::317,0.1
keras/utils/generic_utils.py::316,0.1
keras/utils/generic_utils.py::315,0.1
keras/utils/generic_utils.py::314,0.1
keras/utils/generic_utils.py::313,0.1
keras/utils/generic_utils.py::312,0.1
keras/utils/generic_utils.py::311,0.1
keras/utils/generic_utils.py::310,0.1
keras/utils/generic_utils.py::309,0.1
keras/utils/generic_utils.py::308,0.1
keras/utils/generic_utils.py::306,0.1
keras/utils/generic_utils.py::302,0.1
keras/utils/generic_utils.py::301,0.1
keras/utils/generic_utils.py::299,0.1
keras/utils/generic_utils.py::298,0.1
keras/utils/generic_utils.py::297,0.1
keras/utils/generic_utils.py::296,0.1
keras/utils/generic_utils.py::295,0.1
keras/utils/generic_utils.py::294,0.1
keras/utils/generic_utils.py::292,0.1
keras/utils/generic_utils.py::291,0.1
keras/utils/generic_utils.py::290,0.1
keras/utils/generic_utils.py::288,0.1
keras/utils/generic_utils.py::287,0.1
keras/utils/generic_utils.py::286,0.1
keras/utils/generic_utils.py::285,0.1
keras/utils/generic_utils.py::284,0.1
keras/utils/generic_utils.py::283,0.1
keras/utils/generic_utils.py::272,0.1
keras/utils/generic_utils.py::271,0.1
keras/utils/generic_utils.py::270,0.1
keras/utils/generic_utils.py::269,0.1
keras/utils/generic_utils.py::268,0.1
keras/utils/generic_utils.py::267,0.1
keras/utils/generic_utils.py::266,0.1
keras/utils/generic_utils.py::265,0.1
keras/utils/generic_utils.py::264,0.1
keras/utils/generic_utils.py::263,0.1
keras/utils/generic_utils.py::262,0.1
keras/utils/generic_utils.py::261,0.1
keras/utils/generic_utils.py::260,0.1
keras/utils/generic_utils.py::248,0.1
keras/utils/generic_utils.py::247,0.1
keras/utils/generic_utils.py::246,0.1
keras/utils/generic_utils.py::244,0.1
keras/utils/generic_utils.py::243,0.1
keras/utils/generic_utils.py::242,0.1
keras/utils/generic_utils.py::241,0.1
keras/utils/generic_utils.py::240,0.1
keras/utils/generic_utils.py::239,0.1
keras/utils/generic_utils.py::232,0.1
keras/utils/generic_utils.py::227,0.1
keras/utils/generic_utils.py::160,0.1
keras/utils/generic_utils.py::157,0.1
keras/utils/generic_utils.py::156,0.1
keras/utils/generic_utils.py::153,0.1
keras/utils/generic_utils.py::151,0.1
keras/utils/generic_utils.py::150,0.1
keras/utils/generic_utils.py::149,0.1
keras/utils/generic_utils.py::148,0.1
keras/utils/generic_utils.py::147,0.1
keras/utils/generic_utils.py::146,0.1
keras/utils/generic_utils.py::141,0.1
keras/utils/generic_utils.py::140,0.1
keras/utils/generic_utils.py::139,0.1
keras/utils/generic_utils.py::138,0.1
keras/utils/generic_utils.py::137,0.1
keras/utils/generic_utils.py::136,0.1
keras/utils/generic_utils.py::135,0.1
keras/utils/generic_utils.py::134,0.1
keras/utils/generic_utils.py::131,0.1
keras/utils/generic_utils.py::130,0.1
keras/utils/generic_utils.py::129,0.1
keras/utils/generic_utils.py::126,0.1
keras/utils/generic_utils.py::124,0.1
keras/utils/generic_utils.py::123,0.1
keras/utils/generic_utils.py::121,0.1
keras/utils/generic_utils.py::120,0.1
keras/utils/generic_utils.py::118,0.1
keras/utils/generic_utils.py::107,0.1
keras/utils/generic_utils.py::106,0.1
keras/utils/generic_utils.py::104,0.1
keras/utils/generic_utils.py::103,0.1
keras/utils/generic_utils.py::102,0.1
