Entity,Score
pandas/_config/config.py::101,0.0
pandas/_config/config.py::105,0.0
pandas/_config/config.py::569,0.0
pandas/_config/config.py::571,0.0
pandas/_config/config.py::590,0.0
pandas/_config/config.py::613,0.0
pandas/_config/config.py::628,0.0
pandas/_config/config.py::643,0.0
pandas/_config/config.py::97,0.0
pandas/core/algorithms.py::1771,0.0
pandas/core/algorithms.py::1774,0.0
pandas/core/algorithms.py::1776,0.0
pandas/core/algorithms.py::1777,0.0
pandas/core/algorithms.py::1784,0.0
pandas/core/algorithms.py::1785,0.0
pandas/core/algorithms.py::1792,0.0
pandas/core/base.py::1060,0.0
pandas/core/common.py::122,0.0
pandas/core/common.py::138,0.0
pandas/core/common.py::181,0.0
pandas/core/common.py::188,0.0
pandas/core/common.py::215,0.0
pandas/core/common.py::220,0.0
pandas/core/common.py::225,0.0
pandas/core/common.py::228,0.0
pandas/core/common.py::284,0.0
pandas/core/common.py::285,0.0
pandas/core/common.py::286,0.0
pandas/core/construction.py::380,0.0
pandas/core/construction.py::383,0.0
pandas/core/construction.py::409,0.0
pandas/core/construction.py::414,0.0
pandas/core/construction.py::453,0.0
pandas/core/construction.py::472,0.0
pandas/core/construction.py::476,0.0
pandas/core/construction.py::487,0.0
pandas/core/construction.py::499,0.0
pandas/core/construction.py::529,0.0
pandas/core/construction.py::535,0.0
pandas/core/construction.py::541,0.0
pandas/core/construction.py::546,0.0
pandas/core/dtypes/base.py::280,0.0
pandas/core/dtypes/base.py::285,0.0
pandas/core/dtypes/cast.py::1098,0.0
pandas/core/dtypes/cast.py::1100,0.0
pandas/core/dtypes/cast.py::1124,0.0
pandas/core/dtypes/cast.py::1134,0.0
pandas/core/dtypes/cast.py::1136,0.0
pandas/core/dtypes/cast.py::1139,0.0
pandas/core/dtypes/cast.py::1222,0.0
pandas/core/dtypes/cast.py::1325,0.0
pandas/core/dtypes/cast.py::1337,0.0
pandas/core/dtypes/cast.py::1340,0.0
pandas/core/dtypes/common.py::1377,0.0
pandas/core/dtypes/common.py::1384,0.0
pandas/core/dtypes/common.py::1388,0.0
pandas/core/dtypes/common.py::1513,0.0
pandas/core/dtypes/common.py::1563,0.0
pandas/core/dtypes/common.py::1591,0.0
pandas/core/dtypes/common.py::1621,0.0
pandas/core/dtypes/common.py::1625,0.0
pandas/core/dtypes/common.py::1633,0.0
pandas/core/dtypes/common.py::1757,0.0
pandas/core/dtypes/common.py::189,0.0
pandas/core/dtypes/common.py::193,0.0
pandas/core/dtypes/common.py::211,0.0
pandas/core/dtypes/common.py::360,0.0
pandas/core/dtypes/common.py::425,0.0
pandas/core/dtypes/common.py::488,0.0
pandas/core/dtypes/common.py::489,0.0
pandas/core/dtypes/common.py::523,0.0
pandas/core/dtypes/common.py::524,0.0
pandas/core/dtypes/common.py::555,0.0
pandas/core/dtypes/common.py::556,0.0
pandas/core/dtypes/common.py::590,0.0
pandas/core/dtypes/common.py::632,0.0
pandas/core/dtypes/common.py::932,0.0
pandas/core/dtypes/common.py::933,0.0
pandas/core/dtypes/common.py::934,0.0
pandas/core/dtypes/dtypes.py::90,0.0
pandas/core/dtypes/dtypes.py::92,0.0
pandas/core/dtypes/inference.py::214,0.0
pandas/core/dtypes/inference.py::319,0.0
pandas/core/dtypes/inference.py::357,0.0
pandas/core/dtypes/missing.py::436,0.0
pandas/core/dtypes/missing.py::441,0.0
pandas/core/dtypes/missing.py::443,0.0
pandas/core/frame.py::2657,0.0
pandas/core/frame.py::2674,0.0
pandas/core/frame.py::2684,0.0
pandas/core/frame.py::2691,0.0
pandas/core/frame.py::430,0.0
pandas/core/frame.py::473,0.0
pandas/core/frame.py::474,0.0
pandas/core/frame.py::476,0.0
pandas/core/frame.py::477,0.0
pandas/core/frame.py::478,0.0
pandas/core/frame.py::484,0.0
pandas/core/frame.py::485,0.0
pandas/core/frame.py::487,0.0
pandas/core/indexers.py::65,0.0
pandas/core/indexes/base.py::1354,0.0
pandas/core/indexes/base.py::1970,0.0
pandas/core/indexes/base.py::292,0.0
pandas/core/indexes/base.py::2942,0.0
pandas/core/indexes/base.py::2946,0.0
pandas/core/indexes/base.py::2963,0.0
pandas/core/indexes/base.py::2965,0.0
pandas/core/indexes/base.py::297,0.0
pandas/core/indexes/base.py::303,0.0
pandas/core/indexes/base.py::310,0.0
pandas/core/indexes/base.py::3105,0.0
pandas/core/indexes/base.py::3112,0.0
pandas/core/indexes/base.py::3114,0.0
pandas/core/indexes/base.py::3115,0.0
pandas/core/indexes/base.py::3116,0.0
pandas/core/indexes/base.py::3119,0.0
pandas/core/indexes/base.py::3133,0.0
pandas/core/indexes/base.py::3144,0.0
pandas/core/indexes/base.py::3177,0.0
pandas/core/indexes/base.py::318,0.0
pandas/core/indexes/base.py::319,0.0
pandas/core/indexes/base.py::326,0.0
pandas/core/indexes/base.py::3278,0.0
pandas/core/indexes/base.py::3283,0.0
pandas/core/indexes/base.py::3303,0.0
pandas/core/indexes/base.py::3315,0.0
pandas/core/indexes/base.py::332,0.0
pandas/core/indexes/base.py::339,0.0
pandas/core/indexes/base.py::360,0.0
pandas/core/indexes/base.py::370,0.0
pandas/core/indexes/base.py::376,0.0
pandas/core/indexes/base.py::383,0.0
pandas/core/indexes/base.py::388,0.0
pandas/core/indexes/base.py::390,0.0
pandas/core/indexes/base.py::393,0.0
pandas/core/indexes/base.py::395,0.0
pandas/core/indexes/base.py::4251,0.0
pandas/core/indexes/base.py::4253,0.0
pandas/core/indexes/base.py::461,0.0
pandas/core/indexes/base.py::4682,0.0
pandas/core/indexes/base.py::4690,0.0
pandas/core/indexes/base.py::4692,0.0
pandas/core/indexes/base.py::4917,0.0
pandas/core/indexes/base.py::4919,0.0
pandas/core/indexes/base.py::4929,0.0
pandas/core/indexes/base.py::4984,0.0
pandas/core/indexes/base.py::5015,0.0
pandas/core/indexes/base.py::5017,0.0
pandas/core/indexes/base.py::5032,0.0
pandas/core/indexes/base.py::5039,0.0
pandas/core/indexes/base.py::5052,0.0
pandas/core/indexes/base.py::5058,0.0
pandas/core/indexes/base.py::5095,0.0
pandas/core/indexes/base.py::5097,0.0
pandas/core/indexes/base.py::5103,0.0
pandas/core/indexes/base.py::5114,0.0
pandas/core/indexes/base.py::5116,0.0
pandas/core/indexes/base.py::5120,0.0
pandas/core/indexes/base.py::5122,0.0
pandas/core/indexes/base.py::5125,0.0
pandas/core/indexes/base.py::5539,0.0
pandas/core/indexes/base.py::5542,0.0
pandas/core/indexes/base.py::5545,0.0
pandas/core/indexes/base.py::5550,0.0
pandas/core/indexes/base.py::5551,0.0
pandas/core/indexes/base.py::5556,0.0
pandas/core/indexes/base.py::5565,0.0
pandas/core/indexes/base.py::558,0.0
pandas/core/indexes/base.py::5610,0.0
pandas/core/indexes/base.py::5616,0.0
pandas/core/indexes/base.py::5642,0.0
pandas/core/indexes/base.py::5698,0.0
pandas/core/indexes/base.py::5700,0.0
pandas/core/indexes/base.py::5713,0.0
pandas/core/indexes/base.py::5720,0.0
pandas/core/indexes/base.py::5723,0.0
pandas/core/indexes/base.py::867,0.0
pandas/core/indexes/base.py::896,0.0
pandas/core/indexes/base.py::898,0.0
pandas/core/indexes/base.py::899,0.0
pandas/core/indexes/numeric.py::100,0.0
pandas/core/indexes/numeric.py::65,0.0
pandas/core/indexes/numeric.py::68,0.0
pandas/core/indexes/numeric.py::74,0.0
pandas/core/indexes/numeric.py::83,0.0
pandas/core/indexes/range.py::101,0.0
pandas/core/indexes/range.py::104,0.0
pandas/core/indexes/range.py::112,0.0
pandas/core/indexes/range.py::140,0.0
pandas/core/indexes/range.py::164,0.0
pandas/core/indexes/range.py::323,0.0
pandas/core/indexes/range.py::327,0.0
pandas/core/indexes/range.py::347,0.0
pandas/core/indexes/range.py::348,0.0
pandas/core/indexes/range.py::352,0.0
pandas/core/indexes/range.py::359,0.0
pandas/core/indexes/range.py::364,0.0
pandas/core/indexes/range.py::372,0.0
pandas/core/indexes/range.py::376,0.0
pandas/core/indexes/range.py::377,0.0
pandas/core/indexes/range.py::378,0.0
pandas/core/indexes/range.py::379,0.0
pandas/core/indexes/range.py::381,0.0
pandas/core/indexes/range.py::452,0.0
pandas/core/indexes/range.py::96,0.0
pandas/core/indexing.py::1135,0.0
pandas/core/indexing.py::1137,0.0
pandas/core/indexing.py::1155,0.0
pandas/core/indexing.py::1174,0.0
pandas/core/indexing.py::1218,0.0
pandas/core/indexing.py::1222,0.0
pandas/core/indexing.py::1224,0.0
pandas/core/indexing.py::1262,0.0
pandas/core/indexing.py::1269,0.0
pandas/core/indexing.py::1275,0.0
pandas/core/indexing.py::1276,0.0
pandas/core/indexing.py::1284,0.0
pandas/core/indexing.py::2193,0.0
pandas/core/indexing.py::589,0.0
pandas/core/indexing.py::596,0.0
pandas/core/indexing.py::598,0.0
pandas/core/indexing.py::599,0.0
pandas/core/indexing.py::674,0.0
pandas/core/indexing.py::684,0.0
pandas/core/indexing.py::685,0.0
pandas/core/internals/blocks.py::121,0.0
pandas/core/internals/blocks.py::151,0.0
pandas/core/internals/blocks.py::253,0.0
pandas/core/internals/blocks.py::3014,0.0
pandas/core/internals/blocks.py::3045,0.0
pandas/core/internals/blocks.py::3046,0.0
pandas/core/internals/construction.py::322,0.0
pandas/core/internals/construction.py::459,0.0
pandas/core/internals/construction.py::488,0.0
