Entity,Score
pandas/core/indexes/multi.py::1279,1.0
pandas/core/indexes/multi.py::1280,1.0
pandas/core/indexes/multi.py::1281,1.0
pandas/core/indexes/multi.py::1282,1.0
pandas/core/indexes/multi.py::1283,1.0
pandas/core/indexes/multi.py::1284,1.0
pandas/core/indexes/multi.py::1285,1.0
pandas/core/indexes/multi.py::1286,1.0
pandas/core/indexes/multi.py::1287,1.0
pandas/core/indexes/multi.py::1288,1.0
pandas/core/indexes/multi.py::1289,1.0
pandas/core/indexes/multi.py::1290,1.0
pandas/core/indexes/multi.py::1291,1.0
pandas/core/indexes/multi.py::1292,1.0
pandas/core/indexes/multi.py::1293,1.0
pandas/core/indexes/multi.py::1294,1.0
pandas/core/indexes/multi.py::1295,1.0
pandas/core/indexes/multi.py::1296,1.0
pandas/core/indexes/multi.py::1297,1.0
pandas/core/indexes/multi.py::1298,1.0
pandas/core/indexes/multi.py::1299,1.0
pandas/core/indexes/multi.py::1300,1.0
pandas/core/indexes/multi.py::1301,1.0
pandas/core/indexes/multi.py::1302,1.0
pandas/core/indexes/multi.py::1303,1.0
pandas/core/indexes/multi.py::1304,1.0
pandas/core/reshape/reshape.py::312,0.5
pandas/core/reshape/reshape.py::313,0.5
pandas/core/reshape/reshape.py::314,0.5
pandas/core/reshape/reshape.py::315,0.5
pandas/core/reshape/reshape.py::316,0.5
pandas/core/reshape/reshape.py::317,0.5
pandas/core/reshape/reshape.py::318,0.5
pandas/core/reshape/reshape.py::319,0.5
pandas/core/reshape/reshape.py::320,0.5
pandas/core/reshape/reshape.py::321,0.5
pandas/core/reshape/reshape.py::322,0.5
pandas/core/reshape/reshape.py::323,0.5
pandas/core/reshape/reshape.py::324,0.5
pandas/core/reshape/reshape.py::325,0.5
pandas/core/reshape/reshape.py::326,0.5
pandas/core/reshape/reshape.py::327,0.5
pandas/core/reshape/reshape.py::328,0.5
pandas/core/reshape/reshape.py::329,0.5
pandas/core/reshape/reshape.py::330,0.5
pandas/core/reshape/reshape.py::331,0.5
pandas/core/reshape/reshape.py::332,0.5
pandas/core/reshape/reshape.py::333,0.5
pandas/core/reshape/reshape.py::334,0.5
pandas/core/reshape/reshape.py::335,0.5
pandas/core/reshape/reshape.py::336,0.5
pandas/core/reshape/reshape.py::337,0.5
pandas/core/reshape/reshape.py::338,0.5
pandas/core/reshape/reshape.py::339,0.5
pandas/core/reshape/reshape.py::340,0.5
pandas/core/reshape/reshape.py::341,0.5
pandas/core/reshape/reshape.py::342,0.5
pandas/core/reshape/reshape.py::343,0.5
pandas/core/reshape/reshape.py::344,0.5
pandas/core/reshape/reshape.py::345,0.5
pandas/core/reshape/reshape.py::346,0.5
pandas/core/reshape/reshape.py::347,0.5
pandas/core/reshape/reshape.py::348,0.5
pandas/core/reshape/reshape.py::349,0.5
pandas/core/reshape/reshape.py::350,0.5
pandas/core/reshape/reshape.py::351,0.5
pandas/core/reshape/reshape.py::352,0.5
pandas/core/reshape/reshape.py::353,0.5
pandas/core/reshape/reshape.py::354,0.5
pandas/core/reshape/reshape.py::355,0.5
pandas/core/reshape/reshape.py::356,0.5
pandas/core/reshape/reshape.py::357,0.5
pandas/core/reshape/reshape.py::358,0.5
pandas/core/reshape/reshape.py::359,0.5
