Entity,Score
bin/wiki_entity_linking/wikipedia_processor.py::290,0.9523809523809523
bin/wiki_entity_linking/wikipedia_processor.py::289,0.784470698758991
bin/wiki_entity_linking/wikipedia_processor.py::288,0.784470698758991
bin/wiki_entity_linking/wikipedia_processor.py::284,0.784470698758991
spacy/util.py::73,0.0
spacy/util.py::72,0.0
spacy/util.py::409,0.0
spacy/util.py::408,0.0
spacy/util.py::407,0.0
spacy/util.py::406,0.0
spacy/util.py::389,0.0
spacy/util.py::388,0.0
spacy/util.py::379,0.0
spacy/util.py::378,0.0
spacy/util.py::369,0.0
spacy/util.py::368,0.0
spacy/util.py::361,0.0
spacy/util.py::149,0.0
spacy/util.py::147,0.0
spacy/util.py::127,0.0
spacy/util.py::125,0.0
spacy/util.py::124,0.0
spacy/lookups.py::79,0.0
spacy/lookups.py::77,0.0
spacy/lookups.py::76,0.0
spacy/lookups.py::40,0.0
spacy/lookups.py::31,0.0
spacy/lookups.py::102,0.0
spacy/lemmatizer.py::45,0.0
spacy/lemmatizer.py::44,0.0
spacy/lemmatizer.py::43,0.0
spacy/lemmatizer.py::32,0.0
spacy/lemmatizer.py::30,0.0
spacy/language.py::99,0.0
spacy/language.py::98,0.0
spacy/language.py::97,0.0
spacy/language.py::95,0.0
spacy/language.py::94,0.0
spacy/language.py::92,0.0
spacy/language.py::91,0.0
spacy/language.py::89,0.0
spacy/language.py::88,0.0
spacy/language.py::87,0.0
spacy/language.py::86,0.0
spacy/language.py::82,0.0
spacy/language.py::81,0.0
spacy/language.py::80,0.0
spacy/language.py::79,0.0
spacy/language.py::77,0.0
spacy/language.py::76,0.0
spacy/language.py::75,0.0
spacy/language.py::74,0.0
spacy/language.py::73,0.0
spacy/language.py::72,0.0
spacy/language.py::70,0.0
spacy/language.py::69,0.0
spacy/language.py::68,0.0
spacy/language.py::64,0.0
spacy/language.py::61,0.0
spacy/language.py::60,0.0
spacy/language.py::58,0.0
spacy/language.py::57,0.0
spacy/language.py::56,0.0
spacy/language.py::55,0.0
spacy/language.py::54,0.0
spacy/language.py::50,0.0
spacy/language.py::48,0.0
spacy/language.py::457,0.0
spacy/language.py::442,0.0
spacy/language.py::434,0.0
spacy/language.py::433,0.0
spacy/language.py::432,0.0
spacy/language.py::431,0.0
spacy/language.py::427,0.0
spacy/language.py::181,0.0
spacy/language.py::180,0.0
spacy/language.py::179,0.0
spacy/language.py::178,0.0
spacy/language.py::177,0.0
spacy/language.py::176,0.0
spacy/language.py::175,0.0
spacy/language.py::174,0.0
spacy/language.py::170,0.0
spacy/language.py::169,0.0
spacy/language.py::168,0.0
spacy/language.py::167,0.0
spacy/language.py::166,0.0
spacy/language.py::165,0.0
spacy/language.py::164,0.0
spacy/language.py::163,0.0
spacy/language.py::162,0.0
spacy/language.py::104,0.0
spacy/language.py::103,0.0
spacy/language.py::102,0.0
spacy/language.py::101,0.0
spacy/language.py::100,0.0
spacy/lang/lex_attrs.py::86,0.0
spacy/lang/lex_attrs.py::82,0.0
spacy/lang/lex_attrs.py::61,0.0
spacy/lang/lex_attrs.py::57,0.0
spacy/lang/lex_attrs.py::56,0.0
spacy/lang/lex_attrs.py::38,0.0
spacy/lang/lex_attrs.py::37,0.0
spacy/lang/lex_attrs.py::36,0.0
spacy/lang/lex_attrs.py::35,0.0
spacy/lang/lex_attrs.py::31,0.0
spacy/lang/lex_attrs.py::30,0.0
spacy/lang/lex_attrs.py::29,0.0
spacy/lang/lex_attrs.py::28,0.0
spacy/lang/lex_attrs.py::226,0.0
spacy/lang/lex_attrs.py::222,0.0
spacy/lang/lex_attrs.py::218,0.0
spacy/lang/lex_attrs.py::214,0.0
spacy/lang/lex_attrs.py::210,0.0
spacy/lang/lex_attrs.py::206,0.0
spacy/lang/lex_attrs.py::202,0.0
spacy/lang/lex_attrs.py::198,0.0
spacy/lang/lex_attrs.py::194,0.0
spacy/lang/lex_attrs.py::190,0.0
spacy/lang/lex_attrs.py::186,0.0
spacy/lang/lex_attrs.py::182,0.0
spacy/lang/lex_attrs.py::178,0.0
spacy/lang/lex_attrs.py::174,0.0
spacy/lang/lex_attrs.py::173,0.0
spacy/lang/lex_attrs.py::172,0.0
spacy/lang/lex_attrs.py::171,0.0
spacy/lang/lex_attrs.py::170,0.0
spacy/lang/lex_attrs.py::168,0.0
spacy/lang/lex_attrs.py::167,0.0
spacy/lang/lex_attrs.py::166,0.0
spacy/lang/lex_attrs.py::164,0.0
spacy/lang/lex_attrs.py::163,0.0
spacy/lang/lex_attrs.py::162,0.0
spacy/lang/lex_attrs.py::160,0.0
spacy/lang/lex_attrs.py::159,0.0
spacy/lang/lex_attrs.py::158,0.0
spacy/lang/lex_attrs.py::157,0.0
spacy/lang/lex_attrs.py::156,0.0
spacy/lang/lex_attrs.py::155,0.0
spacy/lang/lex_attrs.py::154,0.0
spacy/lang/lex_attrs.py::153,0.0
spacy/lang/lex_attrs.py::151,0.0
spacy/lang/lex_attrs.py::147,0.0
spacy/lang/lex_attrs.py::145,0.0
spacy/lang/lex_attrs.py::143,0.0
spacy/lang/lex_attrs.py::142,0.0
spacy/lang/lex_attrs.py::141,0.0
spacy/lang/lex_attrs.py::139,0.0
spacy/lang/lex_attrs.py::138,0.0
spacy/lang/lex_attrs.py::137,0.0
spacy/lang/lex_attrs.py::136,0.0
spacy/lang/lex_attrs.py::133,0.0
spacy/lang/lex_attrs.py::132,0.0
spacy/lang/lex_attrs.py::131,0.0
spacy/lang/lex_attrs.py::129,0.0
spacy/lang/lex_attrs.py::127,0.0
spacy/lang/lex_attrs.py::121,0.0
spacy/lang/lex_attrs.py::116,0.0
spacy/lang/lex_attrs.py::115,0.0
spacy/lang/lex_attrs.py::114,0.0
spacy/lang/lex_attrs.py::109,0.0
spacy/lang/lex_attrs.py::108,0.0
spacy/lang/lex_attrs.py::104,0.0
spacy/lang/en/lex_attrs.py::59,0.0
spacy/lang/en/lex_attrs.py::57,0.0
spacy/lang/en/lex_attrs.py::55,0.0
spacy/lang/en/lex_attrs.py::54,0.0
spacy/lang/en/lex_attrs.py::53,0.0
spacy/lang/en/lex_attrs.py::52,0.0
spacy/lang/en/lex_attrs.py::51,0.0
spacy/lang/en/lex_attrs.py::50,0.0
spacy/lang/en/lex_attrs.py::49,0.0
spacy/lang/en/lex_attrs.py::48,0.0
spacy/lang/en/__init__.py::20,0.0
spacy/errors.py::15,0.0
spacy/errors.py::14,0.0
spacy/compat.py::73,0.0
bin/wiki_entity_linking/wikipedia_processor.py::426,0.0
bin/wiki_entity_linking/wikipedia_processor.py::425,0.0
bin/wiki_entity_linking/wikipedia_processor.py::424,0.0
bin/wiki_entity_linking/wikipedia_processor.py::423,0.0
bin/wiki_entity_linking/wikipedia_processor.py::422,0.0
bin/wiki_entity_linking/wikipedia_processor.py::420,0.0
bin/wiki_entity_linking/wikipedia_processor.py::419,0.0
bin/wiki_entity_linking/wikipedia_processor.py::417,0.0
bin/wiki_entity_linking/wikipedia_processor.py::415,0.0
bin/wiki_entity_linking/wikipedia_processor.py::414,0.0
bin/wiki_entity_linking/wikipedia_processor.py::413,0.0
bin/wiki_entity_linking/wikipedia_processor.py::412,0.0
