Entity,Score
spacy/language.py::1099,1.0
spacy/language.py::1100,1.0
spacy/language.py::1101,1.0
spacy/language.py::1102,1.0
spacy/language.py::1103,1.0
spacy/language.py::1104,1.0
spacy/language.py::1105,1.0
spacy/language.py::1106,1.0
spacy/language.py::1107,1.0
spacy/language.py::652,0.5
spacy/language.py::653,0.5
spacy/language.py::654,0.5
spacy/language.py::655,0.5
spacy/language.py::656,0.5
spacy/language.py::657,0.5
spacy/language.py::658,0.5
spacy/language.py::659,0.5
spacy/language.py::660,0.5
spacy/language.py::661,0.5
spacy/language.py::662,0.5
spacy/language.py::663,0.5
spacy/language.py::664,0.5
spacy/language.py::665,0.5
spacy/language.py::666,0.5
spacy/language.py::667,0.5
spacy/language.py::668,0.5
spacy/language.py::669,0.5
spacy/language.py::670,0.5
spacy/language.py::671,0.5
spacy/language.py::672,0.5
spacy/language.py::673,0.5
spacy/language.py::674,0.5
spacy/language.py::675,0.5
spacy/language.py::676,0.5
spacy/language.py::677,0.5
spacy/language.py::678,0.5
spacy/language.py::679,0.5
spacy/language.py::680,0.5
spacy/language.py::681,0.5
spacy/language.py::682,0.5
spacy/language.py::683,0.5
spacy/language.py::684,0.5
spacy/language.py::685,0.5
spacy/language.py::686,0.5
spacy/language.py::687,0.5
spacy/language.py::688,0.5
spacy/language.py::689,0.5
spacy/language.py::690,0.5
spacy/language.py::691,0.5
spacy/language.py::692,0.5
