Entity,Score
spacy/analysis.py::49,1.0
spacy/language.py::405,1.0
spacy/analysis.py::105,0.0
spacy/analysis.py::112,0.0
spacy/analysis.py::23,0.0
spacy/analysis.py::27,0.0
spacy/analysis.py::28,0.0
spacy/analysis.py::30,0.0
spacy/analysis.py::31,0.0
spacy/analysis.py::34,0.0
spacy/analysis.py::89,0.0
spacy/analysis.py::92,0.0
spacy/errors.py::615,0.0
spacy/errors.py::622,0.0
spacy/language.py::1026,0.0
spacy/language.py::1027,0.0
spacy/language.py::162,0.0
spacy/language.py::165,0.0
spacy/language.py::171,0.0
spacy/language.py::51,0.0
spacy/language.py::57,0.0
spacy/language.py::75,0.0
spacy/language.py::85,0.0
spacy/lemmatizer.py::30,0.0
spacy/util.py::338,0.0
spacy/util.py::438,0.0
spacy/analysis.py::95,-0.004607923324155885
spacy/analysis.py::107,-0.007167880726464711
spacy/analysis.py::83,-0.010079832271591
spacy/language.py::328,-0.010751821089697066
spacy/analysis.py::26,-0.0161277316345456
spacy/analysis.py::33,-0.0161277316345456
spacy/analysis.py::36,-0.0161277316345456
spacy/analysis.py::67,-0.0161277316345456
spacy/errors.py::616,-0.0161277316345456
spacy/language.py::330,-0.0161277316345456
spacy/language.py::332,-0.0161277316345456
spacy/language.py::347,-0.0161277316345456
spacy/language.py::44,-0.0161277316345456
spacy/analysis.py::66,-0.03333064537806091
spacy/errors.py::620,-0.04300728435878826
spacy/errors.py::619,-0.0645109265381824
spacy/errors.py::624,-0.0645109265381824
spacy/errors.py::626,-0.0645109265381824
spacy/language.py::403,-0.0645109265381824
spacy/language.py::91,-0.080638658172728
spacy/analysis.py::94,-0.09676638980727359
spacy/analysis.py::62,-0.14514958471091038
spacy/analysis.py::65,-0.14514958471091038
spacy/analysis.py::82,-0.14514958471091038
