Entity,Score
thefuck/rules/dnf_no_such_command.py::31,90.0
thefuck/rules/dnf_no_such_command.py::29,90.0
thefuck/rules/dnf_no_such_command.py::28,90.0
thefuck/rules/dnf_no_such_command.py::27,90.0
thefuck/rules/dnf_no_such_command.py::26,90.0
thefuck/rules/dnf_no_such_command.py::22,90.0
thefuck/rules/dnf_no_such_command.py::21,90.0
thefuck/utils.py::158,3.6363636363636362
thefuck/utils.py::157,3.6363636363636362
thefuck/utils.py::156,3.6363636363636362
thefuck/types.py::56,3.6363636363636362
thefuck/types.py::55,3.6363636363636362
thefuck/rules/dnf_no_such_command.py::37,3.6363636363636362
thefuck/rules/dnf_no_such_command.py::36,3.6363636363636362
thefuck/specific/sudo.py::9,1.2903225806451613
thefuck/specific/sudo.py::8,1.2903225806451613
thefuck/types.py::24,0.7843137254901962
thefuck/types.py::23,0.7843137254901962
thefuck/utils.py::39,0.0
thefuck/utils.py::34,0.0
thefuck/utils.py::33,0.0
thefuck/utils.py::32,0.0
thefuck/utils.py::31,0.0
thefuck/utils.py::30,0.0
thefuck/utils.py::181,0.0
thefuck/utils.py::179,0.0
thefuck/utils.py::178,0.0
thefuck/utils.py::170,0.0
thefuck/utils.py::169,0.0
thefuck/utils.py::166,0.0
thefuck/utils.py::165,0.0
thefuck/types.py::46,0.0
thefuck/types.py::40,0.0
thefuck/types.py::39,0.0
thefuck/types.py::38,0.0
thefuck/shells/generic.py::99,0.0
thefuck/shells/generic.py::97,0.0
thefuck/shells/generic.py::94,0.0
thefuck/shells/generic.py::92,0.0
thefuck/shells/generic.py::89,0.0
thefuck/shells/generic.py::85,0.0
thefuck/shells/generic.py::84,0.0
thefuck/shells/generic.py::82,0.0
thefuck/rules/dnf_no_such_command.py::14,0.0
