Entity,Score
tornado/web.py::1436,0.9979530415695114
tornado/auth.py::1064,0.0
tornado/auth.py::620,0.0
tornado/auth.py::975,0.0
tornado/auth.py::984,0.0
tornado/auth.py::990,0.0
tornado/concurrent.py::168,0.0
tornado/concurrent.py::215,0.0
tornado/concurrent.py::296,0.0
tornado/concurrent.py::297,0.0
tornado/concurrent.py::318,0.0
tornado/concurrent.py::328,0.0
tornado/gen.py::1006,0.0
tornado/gen.py::1020,0.0
tornado/gen.py::1021,0.0
tornado/gen.py::1079,0.0
tornado/gen.py::279,0.0
tornado/gen.py::843,0.0
tornado/gen.py::860,0.0
tornado/gen.py::928,0.0
tornado/gen.py::978,0.0
tornado/gen.py::991,0.0
tornado/http1connection.py::100,0.0
tornado/http1connection.py::115,0.0
tornado/http1connection.py::122,0.0
tornado/http1connection.py::149,0.0
tornado/http1connection.py::155,0.0
tornado/http1connection.py::181,0.0
tornado/http1connection.py::183,0.0
tornado/http1connection.py::234,0.0
tornado/http1connection.py::236,0.0
tornado/http1connection.py::242,0.0
tornado/http1connection.py::243,0.0
tornado/http1connection.py::244,0.0
tornado/http1connection.py::247,0.0
tornado/http1connection.py::249,0.0
tornado/http1connection.py::251,0.0
tornado/http1connection.py::257,0.0
tornado/http1connection.py::261,0.0
tornado/http1connection.py::272,0.0
tornado/http1connection.py::287,0.0
tornado/http1connection.py::291,0.0
tornado/http1connection.py::296,0.0
tornado/http1connection.py::361,0.0
tornado/http1connection.py::376,0.0
tornado/http1connection.py::385,0.0
tornado/http1connection.py::441,0.0
tornado/http1connection.py::445,0.0
tornado/http1connection.py::451,0.0
tornado/http1connection.py::452,0.0
tornado/http1connection.py::455,0.0
tornado/http1connection.py::456,0.0
tornado/http1connection.py::469,0.0
tornado/http1connection.py::475,0.0
tornado/http1connection.py::476,0.0
tornado/http1connection.py::478,0.0
tornado/http1connection.py::480,0.0
tornado/http1connection.py::481,0.0
tornado/http1connection.py::495,0.0
tornado/http1connection.py::496,0.0
tornado/http1connection.py::518,0.0
tornado/http1connection.py::557,0.0
tornado/http1connection.py::654,0.0
tornado/http1connection.py::705,0.0
tornado/http1connection.py::77,0.0
tornado/httpclient.py::161,0.0
tornado/httpclient.py::198,0.0
tornado/httpclient.py::200,0.0
tornado/httpclient.py::201,0.0
tornado/httpclient.py::243,0.0
tornado/httpclient.py::244,0.0
tornado/httpclient.py::440,0.0
tornado/httpclient.py::543,0.0
tornado/httpclient.py::548,0.0
tornado/httpclient.py::555,0.0
tornado/httpclient.py::568,0.0
tornado/httpclient.py::606,0.0
tornado/httpserver.py::150,0.0
tornado/httpserver.py::194,0.0
tornado/httpserver.py::199,0.0
tornado/httpserver.py::200,0.0
tornado/httpserver.py::201,0.0
tornado/httpserver.py::258,0.0
tornado/httpserver.py::268,0.0
tornado/httpserver.py::300,0.0
tornado/httputil.py::333,0.0
tornado/httputil.py::340,0.0
tornado/httputil.py::341,0.0
tornado/httputil.py::347,0.0
tornado/httputil.py::402,0.0
tornado/httputil.py::405,0.0
tornado/httputil.py::771,0.0
tornado/httputil.py::90,0.0
tornado/ioloop.py::237,0.0
tornado/ioloop.py::248,0.0
tornado/ioloop.py::249,0.0
tornado/ioloop.py::371,0.0
tornado/ioloop.py::431,0.0
tornado/ioloop.py::441,0.0
tornado/ioloop.py::593,0.0
tornado/ioloop.py::666,0.0
tornado/ioloop.py::674,0.0
tornado/ioloop.py::691,0.0
tornado/ioloop.py::693,0.0
tornado/ioloop.py::694,0.0
tornado/ioloop.py::758,0.0
tornado/ioloop.py::763,0.0
tornado/ioloop.py::795,0.0
tornado/ioloop.py::800,0.0
tornado/ioloop.py::827,0.0
tornado/ioloop.py::835,0.0
tornado/ioloop.py::880,0.0
tornado/ioloop.py::888,0.0
