Entity,Score
tqdm/_main.py::29,10.0
tqdm/_main.py::28,10.0
tqdm/_main.py::21,10.0
tqdm/_main.py::185,10.0
tqdm/_main.py::184,10.0
tqdm/_main.py::183,10.0
tqdm/_main.py::182,10.0
tqdm/_main.py::181,10.0
tqdm/_main.py::179,10.0
tqdm/_main.py::178,10.0
tqdm/_main.py::177,10.0
tqdm/_main.py::176,10.0
tqdm/_main.py::175,10.0
tqdm/_main.py::174,10.0
tqdm/_main.py::173,10.0
tqdm/_main.py::171,10.0
tqdm/_main.py::170,10.0
tqdm/_main.py::168,10.0
tqdm/_main.py::167,10.0
tqdm/_main.py::163,10.0
tqdm/_main.py::160,10.0
tqdm/_main.py::157,10.0
tqdm/_main.py::148,10.0
tqdm/_main.py::147,10.0
tqdm/_main.py::146,10.0
tqdm/_main.py::145,10.0
tqdm/_main.py::142,10.0
tqdm/_main.py::140,10.0
tqdm/_main.py::139,10.0
tqdm/_main.py::136,10.0
tqdm/_main.py::134,10.0
tqdm/_main.py::132,10.0
tqdm/_main.py::131,10.0
tqdm/_main.py::126,10.0
tqdm/_main.py::125,10.0
tqdm/_main.py::124,10.0
tqdm/_main.py::123,10.0
tqdm/_main.py::12,10.0
tqdm/_main.py::11,10.0
tqdm/_main.py::10,10.0
