Entity,Score
youtube_dl/utils.py::1877,1.0
youtube_dl/utils.py::1874,1.0
youtube_dl/utils.py::1870,1.0
youtube_dl/utils.py::1868,1.0
youtube_dl/utils.py::1878,0.991207034372502
youtube_dl/utils.py::1876,0.991207034372502
youtube_dl/utils.py::1875,0.991207034372502
youtube_dl/utils.py::1873,0.991207034372502
youtube_dl/utils.py::1872,0.991207034372502
youtube_dl/utils.py::1871,0.991207034372502
youtube_dl/utils.py::1869,0.991207034372502
youtube_dl/utils.py::1867,0.991207034372502
youtube_dl/utils.py::984,0.0
youtube_dl/utils.py::983,0.0
youtube_dl/utils.py::982,0.0
youtube_dl/utils.py::978,0.0
youtube_dl/utils.py::977,0.0
youtube_dl/utils.py::975,0.0
youtube_dl/utils.py::972,0.0
youtube_dl/utils.py::971,0.0
youtube_dl/utils.py::949,0.0
youtube_dl/utils.py::947,0.0
youtube_dl/utils.py::946,0.0
youtube_dl/utils.py::945,0.0
youtube_dl/utils.py::943,0.0
youtube_dl/utils.py::939,0.0
youtube_dl/utils.py::886,0.0
youtube_dl/utils.py::884,0.0
youtube_dl/utils.py::883,0.0
youtube_dl/utils.py::881,0.0
youtube_dl/utils.py::78,0.0
youtube_dl/utils.py::77,0.0
youtube_dl/utils.py::76,0.0
youtube_dl/utils.py::759,0.0
youtube_dl/utils.py::758,0.0
youtube_dl/utils.py::757,0.0
youtube_dl/utils.py::756,0.0
youtube_dl/utils.py::754,0.0
youtube_dl/utils.py::753,0.0
youtube_dl/utils.py::752,0.0
youtube_dl/utils.py::751,0.0
youtube_dl/utils.py::750,0.0
youtube_dl/utils.py::748,0.0
youtube_dl/utils.py::746,0.0
youtube_dl/utils.py::730,0.0
youtube_dl/utils.py::729,0.0
youtube_dl/utils.py::728,0.0
youtube_dl/utils.py::727,0.0
youtube_dl/utils.py::726,0.0
youtube_dl/utils.py::723,0.0
youtube_dl/utils.py::705,0.0
youtube_dl/utils.py::704,0.0
youtube_dl/utils.py::701,0.0
youtube_dl/utils.py::700,0.0
youtube_dl/utils.py::699,0.0
youtube_dl/utils.py::698,0.0
youtube_dl/utils.py::671,0.0
youtube_dl/utils.py::666,0.0
youtube_dl/utils.py::639,0.0
youtube_dl/utils.py::638,0.0
youtube_dl/utils.py::635,0.0
youtube_dl/utils.py::615,0.0
youtube_dl/utils.py::614,0.0
youtube_dl/utils.py::612,0.0
youtube_dl/utils.py::610,0.0
youtube_dl/utils.py::606,0.0
youtube_dl/utils.py::603,0.0
youtube_dl/utils.py::602,0.0
youtube_dl/utils.py::601,0.0
youtube_dl/utils.py::600,0.0
youtube_dl/utils.py::598,0.0
youtube_dl/utils.py::596,0.0
youtube_dl/utils.py::595,0.0
