Entity,Score
youtube_dl/utils.py::2739,0.9090909090909091
youtube_dl/utils.py::2738,0.9090909090909091
youtube_dl/utils.py::2737,0.9090909090909091
youtube_dl/utils.py::2736,0.9090909090909091
youtube_dl/utils.py::2735,0.9090909090909091
youtube_dl/utils.py::918,0.0
youtube_dl/utils.py::917,0.0
youtube_dl/utils.py::77,0.0
youtube_dl/utils.py::76,0.0
youtube_dl/utils.py::75,0.0
youtube_dl/utils.py::743,0.0
youtube_dl/utils.py::742,0.0
youtube_dl/utils.py::741,0.0
youtube_dl/utils.py::740,0.0
youtube_dl/utils.py::738,0.0
youtube_dl/utils.py::737,0.0
youtube_dl/utils.py::736,0.0
youtube_dl/utils.py::735,0.0
youtube_dl/utils.py::734,0.0
youtube_dl/utils.py::732,0.0
youtube_dl/utils.py::730,0.0
youtube_dl/utils.py::714,0.0
youtube_dl/utils.py::713,0.0
youtube_dl/utils.py::712,0.0
youtube_dl/utils.py::711,0.0
youtube_dl/utils.py::710,0.0
youtube_dl/utils.py::707,0.0
youtube_dl/utils.py::689,0.0
youtube_dl/utils.py::688,0.0
youtube_dl/utils.py::685,0.0
youtube_dl/utils.py::684,0.0
youtube_dl/utils.py::683,0.0
youtube_dl/utils.py::682,0.0
youtube_dl/utils.py::655,0.0
youtube_dl/utils.py::650,0.0
youtube_dl/utils.py::623,0.0
youtube_dl/utils.py::622,0.0
youtube_dl/utils.py::619,0.0
youtube_dl/utils.py::599,0.0
youtube_dl/utils.py::598,0.0
youtube_dl/utils.py::596,0.0
youtube_dl/utils.py::594,0.0
youtube_dl/utils.py::590,0.0
youtube_dl/utils.py::587,0.0
youtube_dl/utils.py::586,0.0
youtube_dl/utils.py::585,0.0
youtube_dl/utils.py::584,0.0
youtube_dl/utils.py::582,0.0
youtube_dl/utils.py::580,0.0
youtube_dl/utils.py::579,0.0
youtube_dl/utils.py::578,0.0
youtube_dl/utils.py::577,0.0
youtube_dl/utils.py::576,0.0
youtube_dl/utils.py::575,0.0
youtube_dl/utils.py::573,0.0
youtube_dl/utils.py::572,0.0
youtube_dl/utils.py::568,0.0
youtube_dl/utils.py::567,0.0
youtube_dl/utils.py::564,0.0
youtube_dl/utils.py::559,0.0
youtube_dl/utils.py::558,0.0
youtube_dl/utils.py::557,0.0
youtube_dl/utils.py::556,0.0
youtube_dl/utils.py::555,0.0
youtube_dl/utils.py::550,0.0
youtube_dl/utils.py::545,0.0
youtube_dl/utils.py::541,0.0
youtube_dl/utils.py::523,0.0
youtube_dl/utils.py::522,0.0
youtube_dl/utils.py::517,0.0
youtube_dl/utils.py::516,0.0
youtube_dl/utils.py::515,0.0
youtube_dl/utils.py::514,0.0
youtube_dl/utils.py::513,0.0
youtube_dl/utils.py::512,0.0
youtube_dl/utils.py::511,0.0
youtube_dl/utils.py::510,0.0
youtube_dl/utils.py::508,0.0
youtube_dl/utils.py::507,0.0
youtube_dl/utils.py::506,0.0
youtube_dl/utils.py::505,0.0
youtube_dl/utils.py::504,0.0
youtube_dl/utils.py::503,0.0
youtube_dl/utils.py::500,0.0
youtube_dl/utils.py::499,0.0
youtube_dl/utils.py::498,0.0
youtube_dl/utils.py::497,0.0
youtube_dl/utils.py::496,0.0
youtube_dl/utils.py::495,0.0
youtube_dl/utils.py::494,0.0
youtube_dl/utils.py::493,0.0
youtube_dl/utils.py::492,0.0
youtube_dl/utils.py::491,0.0
youtube_dl/utils.py::490,0.0
youtube_dl/utils.py::489,0.0
youtube_dl/utils.py::488,0.0
youtube_dl/utils.py::487,0.0
youtube_dl/utils.py::486,0.0
youtube_dl/utils.py::485,0.0
youtube_dl/utils.py::476,0.0
youtube_dl/utils.py::474,0.0
youtube_dl/utils.py::473,0.0
youtube_dl/utils.py::472,0.0
youtube_dl/utils.py::435,0.0
youtube_dl/utils.py::434,0.0
youtube_dl/utils.py::432,0.0
youtube_dl/utils.py::430,0.0
youtube_dl/utils.py::429,0.0
youtube_dl/utils.py::428,0.0
youtube_dl/utils.py::424,0.0
youtube_dl/utils.py::418,0.0
youtube_dl/utils.py::414,0.0
youtube_dl/utils.py::413,0.0
youtube_dl/utils.py::412,0.0
youtube_dl/utils.py::411,0.0
youtube_dl/utils.py::392,0.0
youtube_dl/utils.py::389,0.0
youtube_dl/utils.py::388,0.0
youtube_dl/utils.py::382,0.0
youtube_dl/utils.py::380,0.0
youtube_dl/utils.py::377,0.0
youtube_dl/utils.py::375,0.0
youtube_dl/utils.py::374,0.0
youtube_dl/utils.py::366,0.0
youtube_dl/utils.py::365,0.0
youtube_dl/utils.py::363,0.0
youtube_dl/utils.py::3625,0.0
youtube_dl/utils.py::3621,0.0
youtube_dl/utils.py::3620,0.0
youtube_dl/utils.py::3619,0.0
